ROI,mean0,sd0,thr
ROI.01 [],0.03190175049422943,0.01393217476779352,0.07369827479760999
ROI.02 [],0.014170740606639093,0.00867086678074257,0.0401833409488668
ROI.04 [],0.017582988405776837,0.013728611646115736,0.058768823344124047
ROI.05 [],0.009624037658378125,0.01051116482770545,0.04115753214149447
ROI.03 [],0.025792875746644645,0.009995114247995375,0.055778218490630777
ROI.06 [],0.05182199281067201,0.019420320714368042,0.11008295495377614
ROI.07 [],0.012711577945287444,0.007541240023443613,0.035335298015618286
ROI.08 [],0.011967209985250598,0.007881851626099171,0.03561276486354811
ROI.09 [],0.017449222544981196,0.009577788747639754,0.046182588787900464
ROI.10 [],0.017263962036480302,0.01144634493562788,0.051602996843363946
ROI.11 [],0.03937421316059934,0.02165024390250274,0.10432494486810756
ROI.12 [],0.0166577121490155,0.014938139868256805,0.061472131753785915
ROI.13 [],0.025792875746644645,0.009995114247995375,0.055778218490630777
ROI.14 [],0.008615545167888504,0.009052475550763455,0.03577297182017887
