ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.01 [],3,51.61266666666666,54.27699999999999,16.029109443620246,30.784999999999997,69.77600000000001
ROI.02 [],1,67.77799999999999,67.77799999999999,0.0,67.77799999999999,67.77799999999999
ROI.03 [],1,70.287,70.287,0.0,70.287,70.287
ROI.06 [],3,51.61266666666666,54.27699999999999,16.029109443620246,30.784999999999997,69.77600000000001
ROI.07 [],1,57.77600000000001,57.77600000000001,0.0,57.77600000000001,57.77600000000001
ROI.08 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.09 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.10 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.11 [],3,51.446333333333335,53.77799999999999,16.003166818546333,30.784999999999997,69.77600000000001
ROI.13 [],1,70.287,70.287,0.0,70.287,70.287
