ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.01 [],50.777,20.777,30,50
ROI.01 [],120.278,40.278000000000006,80,100
ROI.02 [],61.786,31.786,30,50
ROI.02 [],102.779,22.778999999999996,80,100
ROI.02 [],116.276,36.275999999999996,80,100
ROI.02 [],165.284,35.28399999999999,130,150
ROI.02 [],174.778,44.77799999999999,130,150
ROI.02 [],186.276,56.27600000000001,130,150
ROI.06 [],50.777,20.777,30,50
ROI.09 [],115.787,35.787000000000006,80,100
ROI.11 [],62.778,32.778,30,50
ROI.11 [],68.277,38.277,30,50
ROI.11 [],122.276,42.275999999999996,80,100
