ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],5,2,0.4748327966449598,0.04227248751521156,0.09523809523809523,ns
ROI.01 [],ROI.03 [],5,2,0.4748327966449598,0.20595795810751205,0.5714285714285714,ns
ROI.01 [],ROI.06 [],5,4,0.4748327966449598,0.5849656731633781,0.7301587301587302,ns
ROI.01 [],ROI.07 [],5,2,0.4748327966449598,0.14827269040289737,0.5714285714285714,ns
ROI.01 [],ROI.08 [],5,2,0.4748327966449598,0.08364490976109334,0.19047619047619047,ns
ROI.01 [],ROI.09 [],5,2,0.4748327966449598,0.1009792954193452,0.38095238095238093,ns
ROI.01 [],ROI.10 [],5,2,0.4748327966449598,0.038144034234184165,0.09523809523809523,ns
ROI.01 [],ROI.11 [],5,5,0.4748327966449598,0.5445877434165656,0.8412698412698413,ns
ROI.01 [],ROI.13 [],5,2,0.4748327966449598,0.20595795810751205,0.5714285714285714,ns
ROI.02 [],ROI.03 [],2,2,0.04227248751521156,0.20595795810751205,0.3333333333333333,ns
ROI.02 [],ROI.06 [],2,4,0.04227248751521156,0.5849656731633781,0.13333333333333333,ns
ROI.02 [],ROI.07 [],2,2,0.04227248751521156,0.14827269040289737,0.3333333333333333,ns
ROI.02 [],ROI.08 [],2,2,0.04227248751521156,0.08364490976109334,0.3333333333333333,ns
ROI.02 [],ROI.09 [],2,2,0.04227248751521156,0.1009792954193452,0.3333333333333333,ns
ROI.02 [],ROI.10 [],2,2,0.04227248751521156,0.038144034234184165,1.0,ns
ROI.02 [],ROI.11 [],2,5,0.04227248751521156,0.5445877434165656,0.09523809523809523,ns
ROI.02 [],ROI.13 [],2,2,0.04227248751521156,0.20595795810751205,0.3333333333333333,ns
ROI.03 [],ROI.06 [],2,4,0.20595795810751205,0.5849656731633781,0.26666666666666666,ns
ROI.03 [],ROI.07 [],2,2,0.20595795810751205,0.14827269040289737,0.6666666666666666,ns
ROI.03 [],ROI.08 [],2,2,0.20595795810751205,0.08364490976109334,0.3333333333333333,ns
ROI.03 [],ROI.09 [],2,2,0.20595795810751205,0.1009792954193452,0.3333333333333333,ns
ROI.03 [],ROI.10 [],2,2,0.20595795810751205,0.038144034234184165,0.3333333333333333,ns
ROI.03 [],ROI.11 [],2,5,0.20595795810751205,0.5445877434165656,0.8571428571428571,ns
ROI.03 [],ROI.13 [],2,2,0.20595795810751205,0.20595795810751205,1.0,ns
ROI.06 [],ROI.07 [],4,2,0.5849656731633781,0.14827269040289737,0.26666666666666666,ns
ROI.06 [],ROI.08 [],4,2,0.5849656731633781,0.08364490976109334,0.13333333333333333,ns
ROI.06 [],ROI.09 [],4,2,0.5849656731633781,0.1009792954193452,0.13333333333333333,ns
ROI.06 [],ROI.10 [],4,2,0.5849656731633781,0.038144034234184165,0.13333333333333333,ns
ROI.06 [],ROI.11 [],4,5,0.5849656731633781,0.5445877434165656,0.7301587301587302,ns
ROI.06 [],ROI.13 [],4,2,0.5849656731633781,0.20595795810751205,0.26666666666666666,ns
ROI.07 [],ROI.08 [],2,2,0.14827269040289737,0.08364490976109334,0.6666666666666666,ns
ROI.07 [],ROI.09 [],2,2,0.14827269040289737,0.1009792954193452,1.0,ns
ROI.07 [],ROI.10 [],2,2,0.14827269040289737,0.038144034234184165,0.3333333333333333,ns
ROI.07 [],ROI.11 [],2,5,0.14827269040289737,0.5445877434165656,0.38095238095238093,ns
ROI.07 [],ROI.13 [],2,2,0.14827269040289737,0.20595795810751205,0.6666666666666666,ns
ROI.08 [],ROI.09 [],2,2,0.08364490976109334,0.1009792954193452,0.6666666666666666,ns
ROI.08 [],ROI.10 [],2,2,0.08364490976109334,0.038144034234184165,0.3333333333333333,ns
ROI.08 [],ROI.11 [],2,5,0.08364490976109334,0.5445877434165656,0.19047619047619047,ns
ROI.08 [],ROI.13 [],2,2,0.08364490976109334,0.20595795810751205,0.3333333333333333,ns
ROI.09 [],ROI.10 [],2,2,0.1009792954193452,0.038144034234184165,0.3333333333333333,ns
ROI.09 [],ROI.11 [],2,5,0.1009792954193452,0.5445877434165656,0.19047619047619047,ns
ROI.09 [],ROI.13 [],2,2,0.1009792954193452,0.20595795810751205,0.3333333333333333,ns
ROI.10 [],ROI.11 [],2,5,0.038144034234184165,0.5445877434165656,0.09523809523809523,ns
ROI.10 [],ROI.13 [],2,2,0.038144034234184165,0.20595795810751205,0.3333333333333333,ns
ROI.11 [],ROI.13 [],5,2,0.5445877434165656,0.20595795810751205,0.8571428571428571,ns
