ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],9,7,30.727,36.27957142857143,0.2522727272727273,ns
ROI.01 [],ROI.03 [],9,2,30.727,30.5285,0.5818181818181818,ns
ROI.01 [],ROI.06 [],9,9,30.727,29.560111111111112,0.8593877180390554,ns
ROI.01 [],ROI.07 [],9,3,30.727,41.11033333333334,0.2818181818181818,ns
ROI.01 [],ROI.08 [],9,2,30.727,35.532999999999994,0.5818181818181818,ns
ROI.01 [],ROI.09 [],9,2,30.727,32.78150000000001,0.5818181818181818,ns
ROI.01 [],ROI.10 [],9,5,30.727,34.38199999999999,0.18981018981018982,ns
ROI.01 [],ROI.11 [],9,10,30.727,32.829899999999995,0.5399356442033612,ns
ROI.01 [],ROI.13 [],9,2,30.727,30.5285,0.5818181818181818,ns
ROI.02 [],ROI.03 [],7,2,36.27957142857143,30.5285,0.6666666666666666,ns
ROI.02 [],ROI.06 [],7,9,36.27957142857143,29.560111111111112,0.14160839160839161,ns
ROI.02 [],ROI.07 [],7,3,36.27957142857143,41.11033333333334,0.5676353845949194,ns
ROI.02 [],ROI.08 [],7,2,36.27957142857143,35.532999999999994,1.0,ns
ROI.02 [],ROI.09 [],7,2,36.27957142857143,32.78150000000001,0.8888888888888888,ns
ROI.02 [],ROI.10 [],7,5,36.27957142857143,34.38199999999999,0.8762626262626263,ns
ROI.02 [],ROI.11 [],7,10,36.27957142857143,32.829899999999995,0.4747017688194159,ns
ROI.02 [],ROI.13 [],7,2,36.27957142857143,30.5285,0.6666666666666666,ns
ROI.03 [],ROI.06 [],2,9,30.5285,29.560111111111112,0.32727272727272727,ns
ROI.03 [],ROI.07 [],2,3,30.5285,41.11033333333334,0.8,ns
ROI.03 [],ROI.08 [],2,2,30.5285,35.532999999999994,1.0,ns
ROI.03 [],ROI.09 [],2,2,30.5285,32.78150000000001,0.6666666666666666,ns
ROI.03 [],ROI.10 [],2,5,30.5285,34.38199999999999,0.38095238095238093,ns
ROI.03 [],ROI.11 [],2,10,30.5285,32.829899999999995,1.0,ns
ROI.03 [],ROI.13 [],2,2,30.5285,30.5285,1.0,ns
ROI.06 [],ROI.07 [],9,3,29.560111111111112,41.11033333333334,0.20909090909090908,ns
ROI.06 [],ROI.08 [],9,2,29.560111111111112,35.532999999999994,0.5818181818181818,ns
ROI.06 [],ROI.09 [],9,2,29.560111111111112,32.78150000000001,0.32727272727272727,ns
ROI.06 [],ROI.10 [],9,5,29.560111111111112,34.38199999999999,0.11188811188811189,ns
ROI.06 [],ROI.11 [],9,10,29.560111111111112,32.829899999999995,0.3688975050832065,ns
ROI.06 [],ROI.13 [],9,2,29.560111111111112,30.5285,0.32727272727272727,ns
ROI.07 [],ROI.08 [],3,2,41.11033333333334,35.532999999999994,0.8,ns
ROI.07 [],ROI.09 [],3,2,41.11033333333334,32.78150000000001,0.8,ns
ROI.07 [],ROI.10 [],3,5,41.11033333333334,34.38199999999999,0.5714285714285714,ns
ROI.07 [],ROI.11 [],3,10,41.11033333333334,32.829899999999995,0.3706293706293706,ns
ROI.07 [],ROI.13 [],3,2,41.11033333333334,30.5285,0.8,ns
ROI.08 [],ROI.09 [],2,2,35.532999999999994,32.78150000000001,1.0,ns
ROI.08 [],ROI.10 [],2,5,35.532999999999994,34.38199999999999,1.0,ns
ROI.08 [],ROI.11 [],2,10,35.532999999999994,32.829899999999995,0.7575757575757576,ns
ROI.08 [],ROI.13 [],2,2,35.532999999999994,30.5285,1.0,ns
ROI.09 [],ROI.10 [],2,5,32.78150000000001,34.38199999999999,1.0,ns
ROI.09 [],ROI.11 [],2,10,32.78150000000001,32.829899999999995,0.9090909090909091,ns
ROI.09 [],ROI.13 [],2,2,32.78150000000001,30.5285,0.6666666666666666,ns
ROI.10 [],ROI.11 [],5,10,34.38199999999999,32.829899999999995,0.5134865134865134,ns
ROI.10 [],ROI.13 [],5,2,34.38199999999999,30.5285,0.38095238095238093,ns
ROI.11 [],ROI.13 [],10,2,32.829899999999995,30.5285,1.0,ns
