ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],5,2,1.8,3.5,0.46871658244620706,ns
ROI.01 [],ROI.03 [],5,2,1.8,1.0,0.7518296340458492,ns
ROI.01 [],ROI.06 [],5,4,1.8,2.25,0.34523107177184,ns
ROI.01 [],ROI.07 [],5,2,1.8,1.5,0.809149834631498,ns
ROI.01 [],ROI.08 [],5,2,1.8,1.0,0.7518296340458492,ns
ROI.01 [],ROI.09 [],5,2,1.8,1.0,0.7518296340458492,ns
ROI.01 [],ROI.10 [],5,2,1.8,2.5,0.2853768809059243,ns
ROI.01 [],ROI.11 [],5,5,1.8,2.0,0.7971696931337416,ns
ROI.01 [],ROI.13 [],5,2,1.8,1.0,0.7518296340458492,ns
ROI.02 [],ROI.03 [],2,2,3.5,1.0,0.6170750774519738,ns
ROI.02 [],ROI.06 [],2,4,3.5,2.25,1.0,ns
ROI.02 [],ROI.07 [],2,2,3.5,1.5,1.0,ns
ROI.02 [],ROI.08 [],2,2,3.5,1.0,0.6170750774519738,ns
ROI.02 [],ROI.09 [],2,2,3.5,1.0,0.6170750774519738,ns
ROI.02 [],ROI.10 [],2,2,3.5,2.5,1.0,ns
ROI.02 [],ROI.11 [],2,5,3.5,2.0,0.6691408878405654,ns
ROI.02 [],ROI.13 [],2,2,3.5,1.0,0.6170750774519738,ns
ROI.03 [],ROI.06 [],2,4,1.0,2.25,0.2112995473337107,ns
ROI.03 [],ROI.07 [],2,2,1.0,1.5,0.6170750774519738,ns
ROI.03 [],ROI.08 [],2,2,1.0,1.0,1.0,ns
ROI.03 [],ROI.09 [],2,2,1.0,1.0,1.0,ns
ROI.03 [],ROI.10 [],2,2,1.0,2.5,0.22067136191984682,ns
ROI.03 [],ROI.11 [],2,5,1.0,2.0,0.46871658244620706,ns
ROI.03 [],ROI.13 [],2,2,1.0,1.0,1.0,ns
ROI.06 [],ROI.07 [],4,2,2.25,1.5,0.6170750774519738,ns
ROI.06 [],ROI.08 [],4,2,2.25,1.0,0.2112995473337107,ns
ROI.06 [],ROI.09 [],4,2,2.25,1.0,0.2112995473337107,ns
ROI.06 [],ROI.10 [],4,2,2.25,2.5,0.8057327908484386,ns
ROI.06 [],ROI.11 [],4,5,2.25,2.0,0.6985353583033387,ns
ROI.06 [],ROI.13 [],4,2,2.25,1.0,0.2112995473337107,ns
ROI.07 [],ROI.08 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.07 [],ROI.09 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.07 [],ROI.10 [],2,2,1.5,2.5,0.4142161782425252,ns
ROI.07 [],ROI.11 [],2,5,1.5,2.0,1.0,ns
ROI.07 [],ROI.13 [],2,2,1.5,1.0,0.6170750774519738,ns
ROI.08 [],ROI.09 [],2,2,1.0,1.0,1.0,ns
ROI.08 [],ROI.10 [],2,2,1.0,2.5,0.22067136191984682,ns
ROI.08 [],ROI.11 [],2,5,1.0,2.0,0.46871658244620706,ns
ROI.08 [],ROI.13 [],2,2,1.0,1.0,1.0,ns
ROI.09 [],ROI.10 [],2,2,1.0,2.5,0.22067136191984682,ns
ROI.09 [],ROI.11 [],2,5,1.0,2.0,0.46871658244620706,ns
ROI.09 [],ROI.13 [],2,2,1.0,1.0,1.0,ns
ROI.10 [],ROI.11 [],2,5,2.5,2.0,0.684860368172191,ns
ROI.10 [],ROI.13 [],2,2,2.5,1.0,0.22067136191984682,ns
ROI.11 [],ROI.13 [],5,2,2.0,1.0,0.46871658244620706,ns
