ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.01 [],6,37.113499999999995,26.786499999999997,18.404359961251938,22.277,69.77600000000001
ROI.02 [],1,67.77799999999999,67.77799999999999,0.0,67.77799999999999,67.77799999999999
ROI.03 [],1,70.287,70.287,0.0,70.287,70.287
ROI.06 [],6,37.03033333333333,26.786499999999997,18.472218425396438,21.778000000000006,69.77600000000001
ROI.07 [],1,57.77600000000001,57.77600000000001,0.0,57.77600000000001,57.77600000000001
ROI.08 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.09 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.10 [],1,68.27600000000001,68.27600000000001,0.0,68.27600000000001,68.27600000000001
ROI.11 [],6,37.36183333333333,28.281,18.110953807173043,21.778,69.77600000000001
ROI.13 [],1,70.287,70.287,0.0,70.287,70.287
