ROI,mean0,sd0,thr
ROI.01 [],0.04197222061732766,0.034499015241439286,0.14546926634164553
ROI.02 [],0.0036908434584606298,0.0027901051368275343,0.012061158868943232
ROI.04 [],0.021399659572098,0.012551495026777463,0.05905414465243039
ROI.05 [],0.009112932952684524,0.00518813119448981,0.024677326536153954
ROI.06 [],0.028883175205328307,0.019060530875622036,0.08606476783219441
ROI.07 [],0.004028495259704677,0.0014119241046012044,0.00826426757350829
ROI.08 [],0.004389997498464626,0.0035383885211033293,0.015005163061774615
ROI.09 [],0.014351810994420868,0.009050792592361688,0.041504188771505926
ROI.10 [],0.010610976693406323,0.0091143209891652,0.03795393966090192
ROI.11 [],0.037555923908434874,0.055049533450408854,0.20270452425966143
ROI.12 [],0.001993062548690298,0.0017836607854147147,0.007344044904934443
ROI.03 [],0.021808242740461083,0.017145995519558036,0.0732462292991352
ROI.13 [],0.018653470050871368,0.0109268488597909,0.051434016630244064
ROI.14 [],0.021694675406110843,0.011402630270025386,0.055902566216187
ROI.15 [],0.025975994904833013,0.010830161539646369,0.058466479523772125
ROI.16 [],0.018423133373772098,0.007104621846507506,0.039736998913294616
ROI.17 [],0.005559071088444285,0.005337676224971604,0.0215720997633591
ROI.18 [],0.004845905288030944,0.0036405885705702895,0.015767670999741815
ROI.19 [],0.028507383275223497,0.013838037226808134,0.0700214949556479
ROI.20 [],0.005608090899239963,0.003841188910085735,0.017131657629497168
ROI.21 [],0.041568370729586156,0.02250238774176103,0.10907553395486924
ROI.22 [],0.035945542110018616,0.021165031828198726,0.09944063759461479
ROI.23 [],0.03500426006496455,0.023107912148764502,0.10432799651125804
ROI.24 [],0.11645236650430298,0.10545945690350755,0.4328307372148256
ROI.25 [],0.061292886134557495,0.07227771323706397,0.2781260258457494
ROI.26 [],0.06341980761367319,0.07640185780269504,0.2926253810217583
