ROI,mean0,sd0,thr
ROI.01 [],0.031165344546917467,0.01622905729804619,0.07985251644105604
ROI.02 [],0.0050710332151461856,0.003146944058145114,0.014511865389581529
ROI.04 [],0.009221631729732607,0.0058301658621851575,0.02671212931628808
ROI.05 [],0.007206599262963356,0.004601430522583578,0.021010890830714092
ROI.06 [],0.024908493492237015,0.03404024136515698,0.12702921758770794
ROI.07 [],0.0020587794605140906,0.0014181606070012467,0.0063132612815178304
ROI.08 [],0.0038213195537991703,0.0025571946591646977,0.011492903531293263
ROI.09 [],0.010441155801900573,0.009877992077416436,0.040075132034149884
ROI.10 [],0.020314797641427646,0.018001465189235788,0.074319193209135
ROI.11 [],0.09950905115992488,0.06868452724997487,0.3055626329098495
ROI.12 [],0.0020187344851269693,0.0019333537248980106,0.007818795659821002
ROI.03 [],0.011791981537632874,0.008653705477135912,0.03775309796904061
ROI.13 [],0.009463820648383981,0.005896767808032312,0.02715412407248092
ROI.14 [],0.010531460343500679,0.007395596144235739,0.032718248776207895
ROI.15 [],0.0072838663033620325,0.004321874330114309,0.02024948929370496
ROI.16 [],0.00518312795710266,0.0061081672016447975,0.023507629562037054
ROI.17 [],0.014886923262692803,0.010703951918123768,0.046998779017064105
ROI.18 [],0.010646802788933396,0.00782353245434038,0.03411740015195454
ROI.19 [],0.044106195499076024,0.03380698602381476,0.1455271535705203
ROI.20 [],0.004990293760437993,0.0038565613144711155,0.01655997770385134
ROI.21 [],0.039223682523182146,0.025713489625738568,0.11636415140039785
ROI.22 [],0.024618428653532354,0.01770908054428588,0.07774567028638998
ROI.23 [],0.04659221029292185,0.031665522685996525,0.14158877835091144
ROI.24 [],1.0080316595001377,0.5183447619160702,2.563065945248348
ROI.25 [],0.11084021371780355,0.08207569367101158,0.3570672947308383
ROI.26 [],0.11900849181277601,0.08130671633377445,0.36292864081409937
