ROI,mean0,sd0,thr
ROI.01 [],0.0221665181668446,0.011689339569295418,0.05723453687473086
ROI.02 [],0.002334055602766509,0.00215904642068671,0.008811194864826639
ROI.04 [],0.009573824577390717,0.007788218593513195,0.0329384803579303
ROI.05 [],0.007381945347584119,0.002022385173196242,0.013449100867172844
ROI.06 [],0.01919983519841958,0.020044763664415505,0.0793341261916661
ROI.07 [],0.0009409234885763991,0.001219973364764597,0.00460084358287019
ROI.08 [],0.0021784982778851486,0.0021038527327425006,0.00849005647611265
ROI.09 [],0.017185023517121117,0.008338584164903368,0.042200776011831226
ROI.10 [],0.013996204295473729,0.008706231425178667,0.04011489857100973
ROI.11 [],0.04738717735970629,0.029431207144442986,0.13568079879303524
ROI.12 [],0.0013298319032125953,0.0014136451396764514,0.005570767322241949
ROI.03 [],0.02029434196233953,0.01193726446700882,0.05610613536336599
ROI.13 [],0.011023075501978011,0.004026368907941052,0.02310218222580117
ROI.14 [],0.020031346299131877,0.0057432509323723435,0.037261099096248904
ROI.15 [],0.012849396483220305,0.005739054725111673,0.030066560658555327
ROI.16 [],0.01245380058310473,0.005429137554015499,0.028741213245151227
ROI.17 [],0.0054697130243811,0.003537223268080741,0.016081382828623324
ROI.18 [],0.0030920186144892505,0.0025596308329524217,0.010770911113346516
ROI.19 [],0.013018206301909595,0.012065028171691281,0.049213290816983446
ROI.20 [],0.0030573010148906236,0.0027836933478266102,0.011408381058370455
ROI.21 [],0.011767198072262054,0.011788773845696317,0.047133519609351
ROI.22 [],0.020339007200432673,0.012954681382589138,0.059203051348200086
ROI.23 [],0.023006377880038682,0.01610414694573616,0.07131881871724716
ROI.24 [],0.10273626753305372,0.059048428295223054,0.27988155241872287
ROI.25 [],0.06922549045712423,0.02838398007227609,0.1543774306739525
ROI.26 [],0.05275894461777499,0.0469334599340457,0.1935593244199121
