ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.06 [],53.279,3.2790000000000035,30,50
ROI.06 [],65.279,15.278999999999996,30,50
ROI.06 [],78.778,28.778000000000006,30,50
ROI.06 [],101.279,1.2789999999999964,80,100
ROI.06 [],117.279,17.278999999999996,80,100
ROI.06 [],165.277,15.276999999999987,130,150
ROI.06 [],192.288,42.28800000000001,130,150
ROI.06 [],199.278,49.27799999999999,130,150
ROI.11 [],126.277,26.277,80,100
ROI.11 [],145.788,45.78800000000001,80,100
ROI.000 [],106.285,6.284999999999997,80,100
