ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.02 [],170.283,65.28299999999999,100,105
ROI.11 [],111.277,6.277000000000001,100,105
ROI.000 [],41.782,6.7819999999999965,30,35
ROI.000 [],42.777,7.777000000000001,30,35
ROI.000 [],44.777,9.777000000000001,30,35
ROI.000 [],47.778,12.777999999999999,30,35
ROI.000 [],56.278,21.278,30,35
ROI.000 [],68.276,33.275999999999996,30,35
ROI.000 [],72.777,2.777000000000001,65,70
ROI.000 [],75.785,5.784999999999997,65,70
ROI.000 [],95.285,25.284999999999997,65,70
ROI.000 [],104.277,34.277,65,70
ROI.000 [],107.278,2.278000000000006,100,105
ROI.000 [],110.777,5.777000000000001,100,105
ROI.000 [],124.777,19.777,100,105
ROI.000 [],146.777,41.77699999999999,100,105
ROI.000 [],158.778,53.77799999999999,100,105
ROI.000 [],162.789,57.78899999999999,100,105
ROI.000 [],164.288,59.28800000000001,100,105
ROI.000 [],174.789,69.78899999999999,100,105
