ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.04 [],143.282,43.28200000000001,80,100
ROI.04 [],185.277,35.27699999999999,130,150
ROI.06 [],192.778,42.77799999999999,130,150
ROI.09 [],52.776,2.7760000000000034,30,50
ROI.09 [],101.28,1.2800000000000011,80,100
ROI.09 [],123.785,23.784999999999997,80,100
ROI.09 [],132.277,32.27699999999999,80,100
ROI.09 [],162.779,12.778999999999996,130,150
ROI.09 [],166.279,16.278999999999996,130,150
ROI.09 [],174.278,24.27799999999999,130,150
ROI.09 [],185.277,35.27699999999999,130,150
ROI.11 [],51.277,1.277000000000001,30,50
ROI.11 [],64.777,14.777000000000001,30,50
ROI.11 [],68.288,18.287999999999997,30,50
ROI.11 [],87.777,37.777,30,50
ROI.11 [],90.288,40.288,30,50
ROI.11 [],95.276,45.275999999999996,30,50
ROI.11 [],118.277,18.277,80,100
ROI.11 [],120.277,20.277,80,100
ROI.11 [],127.286,27.286,80,100
ROI.11 [],143.784,43.78399999999999,80,100
ROI.11 [],147.277,47.27699999999999,80,100
ROI.11 [],176.789,26.788999999999987,130,150
ROI.11 [],181.776,31.77600000000001,130,150
ROI.11 [],182.777,32.77699999999999,130,150
ROI.000 [],142.277,42.27699999999999,80,100
