ROI,mean0,sd0,thr
ROI.01 [],-0.9455856280003254,0.0011963395780660413,-0.9396039301099952
ROI.02 [],-0.774099681028415,0.0005139027336546711,-0.7715301673601416
ROI.04 [],-0.9120610735997362,0.0006418891973789398,-0.9088516276128416
ROI.05 [],-0.8194794894914846,0.0005828172810079409,-0.816565403086445
ROI.06 [],-0.9764342485493871,0.0008223335472918133,-0.972322580812928
ROI.07 [],-0.6755502267009547,0.0005557865183069194,-0.67277129410942
ROI.08 [],-0.7683512698834333,0.0008668728638895338,-0.7640169055639856
ROI.09 [],-0.8504853548859751,0.0009648976799804884,-0.8456608664860726
ROI.10 [],-0.8616543619089706,0.0010656857120352214,-0.8563259333487945
ROI.11 [],-0.9678260018806223,0.001004338892112641,-0.9628043074200591
ROI.12 [],-0.6780188127947796,0.0005177421563833313,-0.6754301020128629
