ROI,mean0,sd0,thr
ROI.01 [],-0.8466855699682657,0.005510221007939093,-0.8191344649285702
ROI.02 [],-0.7207536932350858,0.0008229164436166994,-0.7166391110170023
ROI.04 [],-0.8710355953189544,0.0017723445759249736,-0.8621738724393295
ROI.05 [],-0.7537936432760505,0.0012849645048743398,-0.7473688207516788
ROI.06 [],-0.9426941715147589,0.0010873699013226117,-0.9372573220081458
ROI.07 [],-0.6449733810901099,0.00048772345595125464,-0.6425347638103537
ROI.08 [],-0.7573202007331384,0.0008658953781165459,-0.7529907238425557
ROI.09 [],-0.8539646583749233,0.0014108777266331515,-0.8469102697417575
ROI.10 [],-0.7948767121184395,0.00184443024584023,-0.7856545608892384
ROI.11 [],-0.9662283020115342,0.0017794950898091418,-0.9573308265624885
ROI.12 [],-0.6485261161728967,0.00048069359392065715,-0.6461226482032933
