ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.06 [],74.778,24.778000000000006,30,50
ROI.06 [],79.277,29.277,30,50
ROI.06 [],82.278,0.0,80,100
ROI.06 [],87.776,0.0,80,100
ROI.06 [],113.779,13.778999999999996,80,100
ROI.06 [],122.776,22.775999999999996,80,100
ROI.06 [],131.776,0.0,130,150
ROI.06 [],138.276,0.0,130,150
ROI.06 [],140.782,0.0,130,150
ROI.06 [],142.278,0.0,130,150
ROI.06 [],148.285,0.0,130,150
ROI.06 [],152.777,2.776999999999987,130,150
ROI.06 [],162.287,12.287000000000006,130,150
ROI.06 [],164.276,14.27600000000001,130,150
ROI.06 [],171.777,21.776999999999987,130,150
ROI.06 [],183.277,33.27699999999999,130,150
ROI.06 [],190.278,40.27799999999999,130,150
