ROI,mean0,sd0,thr
ROI.01 [],0.022165380618395767,0.011689943550259431,0.08061509836969293
ROI.02 [],0.002334055602766509,0.00215904642068671,0.013129287706200057
ROI.04 [],0.009573824577390717,0.007788218593513195,0.048514917544956696
ROI.05 [],0.007381945347584119,0.002022385173196242,0.017493871213565326
ROI.06 [],0.01919983519841958,0.020044763664415505,0.11942365352049711
ROI.07 [],0.0009409234885763991,0.001219973364764597,0.007040790312399384
ROI.08 [],0.0021784982778851486,0.0021038527327425006,0.01269776194159765
ROI.09 [],0.017185023517121117,0.008338584164903368,0.058877944341637956
ROI.10 [],0.013996204295473729,0.008706231425178667,0.05752736142136706
ROI.11 [],0.04738717735970629,0.029431207144442986,0.1945432130819212
ROI.12 [],0.0013298319032125953,0.0014136451396764514,0.008398057601594852
