ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],4,2,6.016499999999998,0.0,0.41131379177625893,ns
ROI.01 [],ROI.04 [],4,1,6.016499999999998,3.778999999999997,1.0,ns
ROI.01 [],ROI.05 [],4,1,6.016499999999998,5.277000000000001,1.0,ns
ROI.01 [],ROI.06 [],4,3,6.016499999999998,11.527666666666667,0.5820796519295022,ns
ROI.01 [],ROI.07 [],4,1,6.016499999999998,0.0,1.0,ns
ROI.01 [],ROI.09 [],4,6,6.016499999999998,4.138999999999999,0.7329950885751295,ns
ROI.01 [],ROI.11 [],4,14,6.016499999999998,25.702785714285714,0.176333907273863,ns
ROI.01 [],ROI.12 [],4,1,6.016499999999998,0.0,1.0,ns
ROI.02 [],ROI.04 [],2,1,0.0,3.778999999999997,1.0,ns
ROI.02 [],ROI.05 [],2,1,0.0,5.277000000000001,1.0,ns
ROI.02 [],ROI.06 [],2,3,0.0,11.527666666666667,0.3329216080655659,ns
ROI.02 [],ROI.07 [],2,1,0.0,0.0,1.0,ns
ROI.02 [],ROI.09 [],2,6,0.0,4.138999999999999,0.3397277758660979,ns
ROI.02 [],ROI.11 [],2,14,0.0,25.702785714285714,0.12143837180389314,ns
ROI.02 [],ROI.12 [],2,1,0.0,0.0,1.0,ns
ROI.04 [],ROI.05 [],1,1,3.778999999999997,5.277000000000001,1.0,ns
ROI.04 [],ROI.06 [],1,3,3.778999999999997,11.527666666666667,1.0,ns
ROI.04 [],ROI.07 [],1,1,3.778999999999997,0.0,1.0,ns
ROI.04 [],ROI.09 [],1,6,3.778999999999997,4.138999999999999,1.0,ns
ROI.04 [],ROI.11 [],1,14,3.778999999999997,25.702785714285714,1.0,ns
ROI.04 [],ROI.12 [],1,1,3.778999999999997,0.0,1.0,ns
ROI.05 [],ROI.06 [],1,3,5.277000000000001,11.527666666666667,1.0,ns
ROI.05 [],ROI.07 [],1,1,5.277000000000001,0.0,1.0,ns
ROI.05 [],ROI.09 [],1,6,5.277000000000001,4.138999999999999,1.0,ns
ROI.05 [],ROI.11 [],1,14,5.277000000000001,25.702785714285714,1.0,ns
ROI.05 [],ROI.12 [],1,1,5.277000000000001,0.0,1.0,ns
ROI.06 [],ROI.07 [],3,1,11.527666666666667,0.0,1.0,ns
ROI.06 [],ROI.09 [],3,6,11.527666666666667,4.138999999999999,0.41849223344681985,ns
ROI.06 [],ROI.11 [],3,14,11.527666666666667,25.702785714285714,0.4829373385480559,ns
ROI.06 [],ROI.12 [],3,1,11.527666666666667,0.0,1.0,ns
ROI.07 [],ROI.09 [],1,6,0.0,4.138999999999999,1.0,ns
ROI.07 [],ROI.11 [],1,14,0.0,25.702785714285714,1.0,ns
ROI.07 [],ROI.12 [],1,1,0.0,0.0,1.0,ns
ROI.09 [],ROI.11 [],6,14,4.138999999999999,25.702785714285714,0.08406488384329307,ns
ROI.09 [],ROI.12 [],6,1,4.138999999999999,0.0,1.0,ns
ROI.11 [],ROI.12 [],14,1,25.702785714285714,0.0,1.0,ns
