Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,1,4,1.0,2.5,1.0,ns
10s,2Hz,1,2,1.0,1.5,1.0,ns
10s,2mW,1,1,1.0,2.0,1.0,ns
10s,5Hz,1,3,1.0,1.0,1.0,ns
10s,5s,1,3,1.0,2.0,1.0,ns
20s,2Hz,4,2,2.5,1.5,1.0,ns
20s,2mW,4,1,2.5,2.0,1.0,ns
20s,5Hz,4,3,2.5,1.0,0.5637028616507731,ns
20s,5s,4,3,2.5,2.0,1.0,ns
2Hz,2mW,2,1,1.5,2.0,1.0,ns
2Hz,5Hz,2,3,1.5,1.0,0.4142161782425252,ns
2Hz,5s,2,3,1.5,2.0,1.0,ns
2mW,5Hz,1,3,2.0,1.0,1.0,ns
2mW,5s,1,3,2.0,2.0,1.0,ns
5Hz,5s,3,3,1.0,2.0,0.5049850750938458,ns
