ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],10s,20s,1,4,27.777,24.782750000000004,1.0,ns
ROI.01 [],10s,2Hz,1,1,27.777,26.78800000000001,1.0,ns
ROI.01 [],10s,5Hz,1,2,27.777,22.528,1.0,ns
ROI.01 [],10s,5s,1,1,27.777,37.77699999999999,1.0,ns
ROI.01 [],20s,2Hz,4,1,24.782750000000004,26.78800000000001,1.0,ns
ROI.01 [],20s,5Hz,4,2,24.782750000000004,22.528,1.0,ns
ROI.01 [],20s,5s,4,1,24.782750000000004,37.77699999999999,1.0,ns
ROI.01 [],2Hz,5Hz,1,2,26.78800000000001,22.528,1.0,ns
ROI.01 [],2Hz,5s,1,1,26.78800000000001,37.77699999999999,1.0,ns
ROI.01 [],5Hz,5s,2,1,22.528,37.77699999999999,1.0,ns
ROI.02 [],10s,5s,1,1,7.277000000000001,4.779000000000004,1.0,ns
ROI.05 [],20s,2mW,1,1,10.777,25.277,1.0,ns
ROI.07 [],20s,2mW,1,1,12.278000000000006,25.777,1.0,ns
ROI.09 [],20s,Ctrl,4,2,21.652750000000005,12.527000000000005,0.8,ns
ROI.11 [],20s,2Hz,5,3,24.8812,44.78400000000001,0.39285714285714285,ns
ROI.11 [],20s,5s,5,8,24.8812,38.594875,0.5236985236985237,ns
ROI.11 [],20s,Ctrl,5,2,24.8812,48.03249999999999,0.38095238095238093,ns
ROI.11 [],2Hz,5s,3,8,44.78400000000001,38.594875,0.496969696969697,ns
ROI.11 [],2Hz,Ctrl,3,2,44.78400000000001,48.03249999999999,0.8,ns
ROI.11 [],5s,Ctrl,8,2,38.594875,48.03249999999999,0.7111111111111111,ns
