ROI,mean0,sd0,thr
ROI.01 [],0.016760834592531297,0.01038717277233797,0.047922352909545204
ROI.02 [],0.00524802965452919,0.0028450166470876774,0.013783079595792221
ROI.04 [],0.008352565835954602,0.004894604039814929,0.02303637795539939
ROI.05 [],0.00651887654009476,0.004689586982288764,0.020587637486961054
ROI.06 [],0.10863023011718526,0.08792433122563348,0.3724032237940857
ROI.07 [],0.001964931340861623,0.0015614544748272625,0.00664929476534341
ROI.08 [],0.003939946818058669,0.002064150157517273,0.010132397290610488
ROI.09 [],0.013716343889876829,0.011429698789975141,0.04800544025980225
ROI.10 [],0.018179847091171215,0.014716580983834666,0.062329590042675215
ROI.11 [],0.02982338109943882,0.03829720265513049,0.1447149890648303
ROI.12 [],0.0026426646000832408,0.0015377371803757499,0.007255876141210491
