Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,2,16,24.7815,20.873625000000004,0.47058823529411764,ns
10s,2Hz,2,7,24.7815,28.785714285714295,0.6666666666666666,ns
10s,2mW,2,3,24.7815,24.944333333333333,1.0,ns
10s,5Hz,2,5,24.7815,18.9774,0.5714285714285714,ns
10s,5s,2,8,24.7815,31.032500000000002,1.0,ns
10s,Ctrl,2,5,24.7815,27.279000000000003,1.0,ns
20s,2Hz,16,7,20.873625000000004,28.785714285714295,0.2776180162100205,ns
20s,2mW,16,3,20.873625000000004,24.944333333333333,0.35913312693498456,ns
20s,5Hz,16,5,20.873625000000004,18.9774,0.7189542483660131,ns
20s,5s,16,8,20.873625000000004,31.032500000000002,0.6100933959326744,ns
20s,Ctrl,16,5,20.873625000000004,27.279000000000003,0.5476436188510492,ns
2Hz,2mW,7,3,28.785714285714295,24.944333333333333,0.3833333333333333,ns
2Hz,5Hz,7,5,28.785714285714295,18.9774,0.1667212516644191,ns
2Hz,5s,7,8,28.785714285714295,31.032500000000002,0.778865578865579,ns
2Hz,Ctrl,7,5,28.785714285714295,27.279000000000003,0.7550505050505051,ns
2mW,5Hz,3,5,24.944333333333333,18.9774,0.39285714285714285,ns
2mW,5s,3,8,24.944333333333333,31.032500000000002,1.0,ns
2mW,Ctrl,3,5,24.944333333333333,27.279000000000003,0.7857142857142857,ns
5Hz,5s,5,8,18.9774,31.032500000000002,0.8329448329448329,ns
5Hz,Ctrl,5,5,18.9774,27.279000000000003,0.6904761904761905,ns
5s,Ctrl,8,5,31.032500000000002,27.279000000000003,0.9432789432789432,ns
