ROI,mean0,sd0,thr
ROI.E [],0.012354050562524723,0.011605331122402363,0.047170043929731814
ROI.C [],0.010674991742862532,0.007145480152378955,0.032111432199999394
ROI.A [],0.004631881756341466,0.002427585259053007,0.011914637533500486
ROI.F [],0.02031451409109133,0.019913307121209853,0.0800544354547209
ROI.B [],0.0010255446822140639,0.0010398216813423786,0.0041450097262412
ROI.D [],0.05909544287880157,0.04222250089000255,0.18576294554880923
ROI.01 [],0.010649490780896794,0.007959807557388125,0.034528913453061166
ROI.02 [],0.006217621425005161,0.004385251245916788,0.019373375162755526
ROI.03 [],0.007520567243874767,0.005691645047954525,0.024595502387738343
ROI.04 [],0.01384131547054574,0.010427399291123894,0.045123513343917426
ROI.05 [],0.0046726822928856064,0.0025385665181014852,0.012288381847190062
ROI.06 [],0.011843905551296685,0.0061538396297430445,0.03030542444052582
ROI.09 [],0.01640635568961432,0.015377405703985459,0.0625385728015707
ROI.10 [],0.02637310300844986,0.020497564314295714,0.087865795951337
ROI.11 [],0.021676481688445364,0.01388590881245691,0.0633342081258161
ROI.12 [],0.026468564030926667,0.014116318097307175,0.06881751832284819
ROI.13 [],0.030939830519628744,0.017554634460586967,0.08360373390138964
ROI.14 [],0.02491507321028325,0.014102017774595849,0.0672211265340708
ROI.16 [],0.012108155432565501,0.009383710479882032,0.04025928687221159
ROI.17 [],0.009791275629357636,0.008598431289342446,0.03558656949738497
ROI.18 [],0.014636056566228593,0.011300063575866015,0.04853624729382664
ROI.19 [],0.009052180580159155,0.008839145300854829,0.035569616482723644
ROI.20 [],0.025020283269092305,0.019040625719880515,0.08214216042873385
ROI.21 [],0.027406514543283245,0.013253229868885165,0.06716620414993874
ROI.22 [],0.06439235625584294,0.0380899780918286,0.17866229053132873
ROI.23 [],0.030615964347421983,0.015664075811901795,0.07760819178312736
ROI.24 [],0.007694477974252331,0.007533732230326528,0.030295674665231913
ROI.26 [],0.0017412435353008184,0.0014412331978755051,0.006064943128927334
ROI.27 [],0.002961013458266891,0.0020688926489678457,0.009167691405170429
ROI.29 [],0.0018754477225377119,0.0023853869211582154,0.009031608486012359
ROI.30 [],0.0036038630606125065,0.00259168701513319,0.011378924106012076
ROI.31 [],0.02038922887985405,0.021792650890967914,0.0857671815527578
