ROI,mean0,sd0,thr
ROI.E [],0.015301082492318435,0.010435223347396444,0.046606752534507766
ROI.C [],0.008717087607800723,0.006048690588575684,0.026863159373527776
ROI.A [],0.005583126747720645,0.0032783932689967763,0.015418306554710973
ROI.F [],0.03781809787396289,0.02404976920942313,0.10996740550223227
ROI.B [],0.002499285644173679,0.001204162676305281,0.0061117736730895225
ROI.D [],0.0371152595438142,0.02768312075144276,0.12016462179814248
ROI.01 [],0.010972465206498602,0.006531999067320912,0.03056846240846134
ROI.02 [],0.004615021986863233,0.005133095041169877,0.020014307110372866
ROI.03 [],0.009519089484225127,0.007767475192702281,0.03282151506233197
ROI.04 [],0.011205789231128456,0.004807654815388423,0.025628753677293725
ROI.05 [],0.007878417419017583,0.005931911277074174,0.025674151250240106
ROI.06 [],0.011659880559042712,0.00887315066564073,0.0382793325559649
ROI.09 [],0.03243071618189043,0.016285340077427827,0.08128673641417392
ROI.10 [],0.026515625043474662,0.016612674917327517,0.07635364979545722
ROI.11 [],0.01821515338040854,0.014922019786807862,0.06298121274083213
ROI.12 [],0.027090947603595587,0.0162071196468349,0.0757123065441003
ROI.13 [],0.020929044872667273,0.02042080706169778,0.08219146605776062
ROI.14 [],0.03209425502303314,0.01701243392042425,0.0831315567843059
ROI.16 [],0.020650918757154794,0.013310329110417308,0.06058190608840672
ROI.17 [],0.019516680043880824,0.01336726742945572,0.05961848233224798
ROI.18 [],0.023436178688503763,0.01418477213882697,0.06599049510498467
ROI.19 [],0.011869886140517578,0.011696194401269285,0.04695846934432543
ROI.20 [],0.02391253788088108,0.01865437778713151,0.0798756712422756
ROI.21 [],0.03366700018149629,0.021037469523754185,0.09677940875275885
ROI.22 [],0.0340153771336194,0.027183735446886334,0.1155665834742784
ROI.23 [],0.04518338311289005,0.03497918295599284,0.15012093198086857
ROI.24 [],0.016712901633440518,0.012448803429007458,0.05405931192046289
ROI.26 [],0.0032988924232073232,0.0022613720245246204,0.010083008496781185
ROI.27 [],0.0038259576601445263,0.0020238550208802287,0.009897522722785213
ROI.29 [],0.003699722330815896,0.002516104380959225,0.01124803547369357
ROI.30 [],0.002545276823309605,0.0030022447316812484,0.011552011018353351
ROI.31 [],0.034430191309276915,0.02700452747184088,0.11544377372479955
