ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.09 [],1,22.78800000000001,22.78800000000001,0.0,22.78800000000001,22.78800000000001
ROI.10 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.11 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.12 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.13 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.14 [],1,24.77799999999999,24.77799999999999,0.0,24.77799999999999,24.77799999999999
ROI.16 [],1,24.77799999999999,24.77799999999999,0.0,24.77799999999999,24.77799999999999
ROI.17 [],1,23.27799999999999,23.27799999999999,0.0,23.27799999999999,23.27799999999999
ROI.18 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
ROI.19 [],1,23.27799999999999,23.27799999999999,0.0,23.27799999999999,23.27799999999999
ROI.20 [],1,23.27799999999999,23.27799999999999,0.0,23.27799999999999,23.27799999999999
ROI.21 [],1,24.27799999999999,24.27799999999999,0.0,24.27799999999999,24.27799999999999
