Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,1mw,2,13.777000000000005,14.78200000000001,-1.005000000000007,-0.08371511870054203,0.9468292796265718,-0.05919552812099003,ns
10s,20s,13,25.863564102564105,23.702603846153846,2.160960256410258,1.7839908552822998,0.09971114327969066,0.4947900387445531,ns
10s,2hz,5,20.69636666666667,28.781533333333336,-8.085166666666664,-1.6010067925583993,0.18463005400956659,-0.715992004119897,ns
10s,5hz,15,24.252022222222227,25.428311111111107,-1.1762888888888838,-0.5010867321057341,0.6240962605103817,-0.1293800378967337,ns
10s,5s,3,16.44577777777778,29.613999999999994,-13.168222222222212,-1.8243246305229146,0.20966088164145433,-1.0532743165216694,ns
1mw,2hz,2,14.78200000000001,31.281333333333333,-16.499333333333322,-6.805719785508036,0.09287727221138958,-4.812370611188188,ns
1mw,5hz,2,14.78200000000001,22.652583333333332,-7.870583333333321,-1.6164957981754997,0.3526872246251338,-1.1430351406494568,ns
1mw,5s,2,14.78200000000001,26.782499999999995,-12.000499999999985,-24.292510121457514,0.02619163433473808,-17.17739863892545,*
20s,2hz,5,21.656448095238098,31.4822,-9.825751904761905,-2.194895463888652,0.09318162303545108,-0.9815870921521924,ns
20s,2mw,3,13.44577777777778,32.61366666666667,-19.16788888888889,-3.702894809391656,0.06581364848871459,-2.1378673149831404,ns
20s,5hz,15,22.8512026984127,26.212499999999995,-3.3612973015872987,-2.9450842067624103,0.010648995268175294,-0.760417472397953,*
20s,5s,4,17.485172619047617,24.276812499999995,-6.791639880952378,-2.3968080539924856,0.09615015844950507,-1.1984040269962428,ns
20s,Ctrl,2,17.317095238095238,37.03525,-19.718154761904756,-3.4517629504281566,0.17951860172372422,-2.440764989296234,ns
2hz,5hz,7,31.424809523809525,26.399357142857145,5.025452380952381,1.7929247637794823,0.12315313649121314,0.6776618634871052,ns
2hz,5s,4,34.65716666666667,23.404562499999997,11.252604166666671,2.5780200753923546,0.08192043665770508,1.2890100376961773,ns
2hz,Ctrl,3,34.809666666666665,30.61983333333333,4.189833333333341,0.9099802999107519,0.4588877542169648,0.525377371110729,ns
2mw,5s,3,32.447,22.969416666666664,9.477583333333337,1.404669661691693,0.2952913112068192,0.8109864073001994,ns
2mw,Ctrl,2,35.283,42.283500000000004,-7.000499999999999,-0.3111402475610568,0.807966439631902,-0.22000937895048442,ns
5hz,5s,5,26.096899999999998,25.779049999999994,0.31785000000000496,0.08296858873219685,0.9378626378141907,0.03710468088048305,ns
5hz,Ctrl,3,28.031833333333335,30.61983333333333,-2.587999999999994,-0.37778986066070913,0.741912446141967,-0.21811707774957165,ns
5s,Ctrl,3,22.27858333333333,30.61983333333333,-8.341249999999995,-0.8116582746484465,0.5022270743461121,-0.4686111233582679,ns
