ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.03 [],1,1,24.789,12.777,1.0,ns
ROI.01 [],ROI.04 [],1,2,24.789,24.2825,1.0,ns
ROI.01 [],ROI.06 [],1,1,24.789,51.77799999999999,1.0,ns
ROI.01 [],ROI.09 [],1,8,24.789,26.53125,1.0,ns
ROI.01 [],ROI.10 [],1,11,24.789,25.734454545454547,1.0,ns
ROI.01 [],ROI.11 [],1,9,24.789,24.059111111111108,1.0,ns
ROI.01 [],ROI.12 [],1,7,24.789,24.710714285714285,1.0,ns
ROI.01 [],ROI.13 [],1,8,24.789,23.157250000000005,1.0,ns
ROI.01 [],ROI.14 [],1,5,24.789,23.779400000000003,1.0,ns
ROI.01 [],ROI.16 [],1,8,24.789,27.097,1.0,ns
ROI.01 [],ROI.17 [],1,8,24.789,25.156375,1.0,ns
ROI.01 [],ROI.18 [],1,10,24.789,25.5283,1.0,ns
ROI.01 [],ROI.19 [],1,9,24.789,25.615777777777772,1.0,ns
ROI.01 [],ROI.20 [],1,5,24.789,24.780199999999997,1.0,ns
ROI.01 [],ROI.21 [],1,6,24.789,23.1135,1.0,ns
ROI.01 [],ROI.22 [],1,21,24.789,23.853380952380952,1.0,ns
ROI.01 [],ROI.27 [],1,1,24.789,5.777000000000001,1.0,ns
ROI.01 [],ROI.31 [],1,15,24.789,24.347199999999997,1.0,ns
ROI.01 [],ROI.A [],1,3,24.789,19.277,1.0,ns
ROI.01 [],ROI.B [],1,2,24.789,19.027500000000003,1.0,ns
ROI.01 [],ROI.C [],1,2,24.789,38.529,1.0,ns
ROI.01 [],ROI.D [],1,21,24.789,26.353523809523807,1.0,ns
ROI.01 [],ROI.E [],1,12,24.789,24.823583333333335,1.0,ns
ROI.01 [],ROI.F [],1,13,24.789,27.319076923076924,1.0,ns
ROI.03 [],ROI.04 [],1,2,12.777,24.2825,1.0,ns
ROI.03 [],ROI.06 [],1,1,12.777,51.77799999999999,1.0,ns
ROI.03 [],ROI.09 [],1,8,12.777,26.53125,1.0,ns
ROI.03 [],ROI.10 [],1,11,12.777,25.734454545454547,1.0,ns
ROI.03 [],ROI.11 [],1,9,12.777,24.059111111111108,1.0,ns
ROI.03 [],ROI.12 [],1,7,12.777,24.710714285714285,1.0,ns
ROI.03 [],ROI.13 [],1,8,12.777,23.157250000000005,1.0,ns
ROI.03 [],ROI.14 [],1,5,12.777,23.779400000000003,1.0,ns
ROI.03 [],ROI.16 [],1,8,12.777,27.097,1.0,ns
ROI.03 [],ROI.17 [],1,8,12.777,25.156375,1.0,ns
ROI.03 [],ROI.18 [],1,10,12.777,25.5283,1.0,ns
ROI.03 [],ROI.19 [],1,9,12.777,25.615777777777772,1.0,ns
ROI.03 [],ROI.20 [],1,5,12.777,24.780199999999997,1.0,ns
ROI.03 [],ROI.21 [],1,6,12.777,23.1135,1.0,ns
ROI.03 [],ROI.22 [],1,21,12.777,23.853380952380952,1.0,ns
ROI.03 [],ROI.27 [],1,1,12.777,5.777000000000001,1.0,ns
ROI.03 [],ROI.31 [],1,15,12.777,24.347199999999997,1.0,ns
ROI.03 [],ROI.A [],1,3,12.777,19.277,1.0,ns
ROI.03 [],ROI.B [],1,2,12.777,19.027500000000003,1.0,ns
ROI.03 [],ROI.C [],1,2,12.777,38.529,1.0,ns
ROI.03 [],ROI.D [],1,21,12.777,26.353523809523807,1.0,ns
ROI.03 [],ROI.E [],1,12,12.777,24.823583333333335,1.0,ns
ROI.03 [],ROI.F [],1,13,12.777,27.319076923076924,1.0,ns
ROI.04 [],ROI.06 [],2,1,24.2825,51.77799999999999,1.0,ns
ROI.04 [],ROI.09 [],2,8,24.2825,26.53125,0.7111111111111111,ns
ROI.04 [],ROI.10 [],2,11,24.2825,25.734454545454547,1.0,ns
ROI.04 [],ROI.11 [],2,9,24.2825,24.059111111111108,0.7272727272727273,ns
ROI.04 [],ROI.12 [],2,7,24.2825,24.710714285714285,1.0,ns
ROI.04 [],ROI.13 [],2,8,24.2825,23.157250000000005,0.888888888888889,ns
ROI.04 [],ROI.14 [],2,5,24.2825,23.779400000000003,1.0,ns
ROI.04 [],ROI.16 [],2,8,24.2825,27.097,0.888888888888889,ns
ROI.04 [],ROI.17 [],2,8,24.2825,25.156375,0.7111111111111111,ns
ROI.04 [],ROI.18 [],2,10,24.2825,25.5283,0.9090909090909091,ns
