ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.03 [],1,1,0.0602529630166394,0.0718514394997438,1.0,ns
ROI.01 [],ROI.04 [],1,2,0.0602529630166394,0.0533891297240493,1.0,ns
ROI.01 [],ROI.06 [],1,1,0.0602529630166394,0.0296916267931862,1.0,ns
ROI.01 [],ROI.09 [],1,7,0.0602529630166394,0.20391134930492924,1.0,ns
ROI.01 [],ROI.10 [],1,8,0.0602529630166394,0.20809389754356528,1.0,ns
ROI.01 [],ROI.11 [],1,7,0.0602529630166394,0.20599444340330178,1.0,ns
ROI.01 [],ROI.12 [],1,6,0.0602529630166394,0.20479103461116374,1.0,ns
ROI.01 [],ROI.13 [],1,7,0.0602529630166394,0.2153654461701971,1.0,ns
ROI.01 [],ROI.14 [],1,5,0.0602529630166394,0.21371063441663463,1.0,ns
ROI.01 [],ROI.16 [],1,5,0.0602529630166394,0.20823773494154377,1.0,ns
ROI.01 [],ROI.17 [],1,6,0.0602529630166394,0.17635905109544223,1.0,ns
ROI.01 [],ROI.18 [],1,7,0.0602529630166394,0.19734938307682653,1.0,ns
ROI.01 [],ROI.19 [],1,7,0.0602529630166394,0.18258003664133343,1.0,ns
ROI.01 [],ROI.20 [],1,5,0.0602529630166394,0.1921882723731427,1.0,ns
ROI.01 [],ROI.21 [],1,6,0.0602529630166394,0.18720751592835475,1.0,ns
ROI.01 [],ROI.22 [],1,11,0.0602529630166394,0.2903631478950372,1.0,ns
ROI.01 [],ROI.27 [],1,1,0.0602529630166394,0.0220163837398263,1.0,ns
ROI.01 [],ROI.31 [],1,8,0.0602529630166394,0.28709473270190294,1.0,ns
ROI.01 [],ROI.A [],1,3,0.0602529630166394,0.032344208297009465,1.0,ns
ROI.01 [],ROI.B [],1,2,0.0602529630166394,0.01231815420347635,1.0,ns
ROI.01 [],ROI.C [],1,2,0.0602529630166394,0.0434620306109202,1.0,ns
ROI.01 [],ROI.D [],1,11,0.0602529630166394,0.305149802151968,1.0,ns
ROI.01 [],ROI.E [],1,8,0.0602529630166394,0.16216289128438796,1.0,ns
ROI.01 [],ROI.F [],1,8,0.0602529630166394,0.31389482118471945,1.0,ns
ROI.03 [],ROI.04 [],1,2,0.0718514394997438,0.0533891297240493,1.0,ns
ROI.03 [],ROI.06 [],1,1,0.0718514394997438,0.0296916267931862,1.0,ns
ROI.03 [],ROI.09 [],1,7,0.0718514394997438,0.20391134930492924,1.0,ns
ROI.03 [],ROI.10 [],1,8,0.0718514394997438,0.20809389754356528,1.0,ns
ROI.03 [],ROI.11 [],1,7,0.0718514394997438,0.20599444340330178,1.0,ns
ROI.03 [],ROI.12 [],1,6,0.0718514394997438,0.20479103461116374,1.0,ns
ROI.03 [],ROI.13 [],1,7,0.0718514394997438,0.2153654461701971,1.0,ns
ROI.03 [],ROI.14 [],1,5,0.0718514394997438,0.21371063441663463,1.0,ns
ROI.03 [],ROI.16 [],1,5,0.0718514394997438,0.20823773494154377,1.0,ns
ROI.03 [],ROI.17 [],1,6,0.0718514394997438,0.17635905109544223,1.0,ns
ROI.03 [],ROI.18 [],1,7,0.0718514394997438,0.19734938307682653,1.0,ns
ROI.03 [],ROI.19 [],1,7,0.0718514394997438,0.18258003664133343,1.0,ns
ROI.03 [],ROI.20 [],1,5,0.0718514394997438,0.1921882723731427,1.0,ns
ROI.03 [],ROI.21 [],1,6,0.0718514394997438,0.18720751592835475,1.0,ns
ROI.03 [],ROI.22 [],1,11,0.0718514394997438,0.2903631478950372,1.0,ns
ROI.03 [],ROI.27 [],1,1,0.0718514394997438,0.0220163837398263,1.0,ns
ROI.03 [],ROI.31 [],1,8,0.0718514394997438,0.28709473270190294,1.0,ns
ROI.03 [],ROI.A [],1,3,0.0718514394997438,0.032344208297009465,1.0,ns
ROI.03 [],ROI.B [],1,2,0.0718514394997438,0.01231815420347635,1.0,ns
ROI.03 [],ROI.C [],1,2,0.0718514394997438,0.0434620306109202,1.0,ns
ROI.03 [],ROI.D [],1,11,0.0718514394997438,0.305149802151968,1.0,ns
ROI.03 [],ROI.E [],1,8,0.0718514394997438,0.16216289128438796,1.0,ns
ROI.03 [],ROI.F [],1,8,0.0718514394997438,0.31389482118471945,1.0,ns
ROI.04 [],ROI.06 [],2,1,0.0533891297240493,0.0296916267931862,1.0,ns
ROI.04 [],ROI.09 [],2,7,0.0533891297240493,0.20391134930492924,0.05555555555555555,ns
ROI.04 [],ROI.10 [],2,8,0.0533891297240493,0.20809389754356528,0.044444444444444446,*
ROI.04 [],ROI.11 [],2,7,0.0533891297240493,0.20599444340330178,0.05555555555555555,ns
ROI.04 [],ROI.12 [],2,6,0.0533891297240493,0.20479103461116374,0.07142857142857142,ns
ROI.04 [],ROI.13 [],2,7,0.0533891297240493,0.2153654461701971,0.05555555555555555,ns
ROI.04 [],ROI.14 [],2,5,0.0533891297240493,0.21371063441663463,0.09523809523809523,ns
ROI.04 [],ROI.16 [],2,5,0.0533891297240493,0.20823773494154377,0.09523809523809523,ns
ROI.04 [],ROI.17 [],2,6,0.0533891297240493,0.17635905109544223,0.07142857142857142,ns
ROI.04 [],ROI.18 [],2,7,0.0533891297240493,0.19734938307682653,0.05555555555555555,ns
ROI.04 [],ROI.19 [],2,7,0.0533891297240493,0.18258003664133343,0.05555555555555555,ns
ROI.04 [],ROI.20 [],2,5,0.0533891297240493,0.1921882723731427,0.09523809523809523,ns
ROI.04 [],ROI.21 [],2,6,0.0533891297240493,0.18720751592835475,0.07142857142857142,ns
ROI.04 [],ROI.22 [],2,11,0.0533891297240493,0.2903631478950372,0.02564102564102564,*
ROI.04 [],ROI.27 [],2,1,0.0533891297240493,0.0220163837398263,1.0,ns
ROI.04 [],ROI.31 [],2,8,0.0533891297240493,0.28709473270190294,0.044444444444444446,*
ROI.04 [],ROI.A [],2,3,0.0533891297240493,0.032344208297009465,0.2,ns
ROI.04 [],ROI.B [],2,2,0.0533891297240493,0.01231815420347635,0.3333333333333333,ns
ROI.04 [],ROI.C [],2,2,0.0533891297240493,0.0434620306109202,0.6666666666666666,ns
ROI.04 [],ROI.D [],2,11,0.0533891297240493,0.305149802151968,0.02564102564102564,*
ROI.04 [],ROI.E [],2,8,0.0533891297240493,0.16216289128438796,0.044444444444444446,*
ROI.04 [],ROI.F [],2,8,0.0533891297240493,0.31389482118471945,0.044444444444444446,*
ROI.06 [],ROI.09 [],1,7,0.0296916267931862,0.20391134930492924,1.0,ns
ROI.06 [],ROI.10 [],1,8,0.0296916267931862,0.20809389754356528,1.0,ns
ROI.06 [],ROI.11 [],1,7,0.0296916267931862,0.20599444340330178,1.0,ns
ROI.06 [],ROI.12 [],1,6,0.0296916267931862,0.20479103461116374,1.0,ns
ROI.06 [],ROI.13 [],1,7,0.0296916267931862,0.2153654461701971,1.0,ns
ROI.06 [],ROI.14 [],1,5,0.0296916267931862,0.21371063441663463,1.0,ns
ROI.06 [],ROI.16 [],1,5,0.0296916267931862,0.20823773494154377,1.0,ns
ROI.06 [],ROI.17 [],1,6,0.0296916267931862,0.17635905109544223,1.0,ns
ROI.06 [],ROI.18 [],1,7,0.0296916267931862,0.19734938307682653,1.0,ns
ROI.06 [],ROI.19 [],1,7,0.0296916267931862,0.18258003664133343,1.0,ns
ROI.06 [],ROI.20 [],1,5,0.0296916267931862,0.1921882723731427,1.0,ns
ROI.06 [],ROI.21 [],1,6,0.0296916267931862,0.18720751592835475,1.0,ns
ROI.06 [],ROI.22 [],1,11,0.0296916267931862,0.2903631478950372,1.0,ns
ROI.06 [],ROI.27 [],1,1,0.0296916267931862,0.0220163837398263,1.0,ns
ROI.06 [],ROI.31 [],1,8,0.0296916267931862,0.28709473270190294,1.0,ns
ROI.06 [],ROI.A [],1,3,0.0296916267931862,0.032344208297009465,1.0,ns
ROI.06 [],ROI.B [],1,2,0.0296916267931862,0.01231815420347635,1.0,ns
ROI.06 [],ROI.C [],1,2,0.0296916267931862,0.0434620306109202,1.0,ns
ROI.06 [],ROI.D [],1,11,0.0296916267931862,0.305149802151968,1.0,ns
ROI.06 [],ROI.E [],1,8,0.0296916267931862,0.16216289128438796,1.0,ns
ROI.06 [],ROI.F [],1,8,0.0296916267931862,0.31389482118471945,1.0,ns
ROI.09 [],ROI.10 [],7,8,0.20391134930492924,0.20809389754356528,0.9550893550893552,ns
ROI.09 [],ROI.11 [],7,7,0.20391134930492924,0.20599444340330178,1.0,ns
ROI.09 [],ROI.12 [],7,6,0.20391134930492924,0.20479103461116374,0.9452214452214451,ns
ROI.09 [],ROI.13 [],7,7,0.20391134930492924,0.2153654461701971,0.9015151515151516,ns
ROI.09 [],ROI.14 [],7,5,0.20391134930492924,0.21371063441663463,0.8762626262626263,ns
ROI.09 [],ROI.16 [],7,5,0.20391134930492924,0.20823773494154377,0.8762626262626263,ns
ROI.09 [],ROI.17 [],7,6,0.20391134930492924,0.17635905109544223,0.36596736596736595,ns
ROI.09 [],ROI.18 [],7,7,0.20391134930492924,0.19734938307682653,0.9015151515151516,ns
ROI.09 [],ROI.19 [],7,7,0.20391134930492924,0.18258003664133343,0.534965034965035,ns
ROI.09 [],ROI.20 [],7,5,0.20391134930492924,0.1921882723731427,0.7550505050505051,ns
ROI.09 [],ROI.21 [],7,6,0.20391134930492924,0.18720751592835475,0.6282051282051282,ns
ROI.09 [],ROI.22 [],7,11,0.20391134930492924,0.2903631478950372,0.04411764705882353,*
ROI.09 [],ROI.27 [],7,1,0.20391134930492924,0.0220163837398263,1.0,ns
ROI.09 [],ROI.31 [],7,8,0.20391134930492924,0.28709473270190294,0.1205905205905206,ns
ROI.09 [],ROI.A [],7,3,0.20391134930492924,0.032344208297009465,0.016666666666666666,*
ROI.09 [],ROI.B [],7,2,0.20391134930492924,0.01231815420347635,0.05555555555555555,ns
ROI.09 [],ROI.C [],7,2,0.20391134930492924,0.0434620306109202,0.05555555555555555,ns
ROI.09 [],ROI.D [],7,11,0.20391134930492924,0.305149802151968,0.026772247360482657,*
ROI.09 [],ROI.E [],7,8,0.20391134930492924,0.16216289128438796,0.280963480963481,ns
ROI.09 [],ROI.F [],7,8,0.20391134930492924,0.31389482118471945,0.04009324009324009,*
ROI.10 [],ROI.11 [],8,7,0.20809389754356528,0.20599444340330178,0.778865578865579,ns
ROI.10 [],ROI.12 [],8,6,0.20809389754356528,0.20479103461116374,0.9497169497169498,ns
ROI.10 [],ROI.13 [],8,7,0.20809389754356528,0.2153654461701971,0.778865578865579,ns
ROI.10 [],ROI.14 [],8,5,0.20809389754356528,0.21371063441663463,0.8329448329448329,ns
ROI.10 [],ROI.16 [],8,5,0.20809389754356528,0.20823773494154377,1.0,ns
ROI.10 [],ROI.17 [],8,6,0.20809389754356528,0.17635905109544223,0.662004662004662,ns
ROI.10 [],ROI.18 [],8,7,0.20809389754356528,0.19734938307682653,0.6943278943278944,ns
ROI.10 [],ROI.19 [],8,7,0.20809389754356528,0.18258003664133343,0.8665112665112666,ns
ROI.10 [],ROI.20 [],8,5,0.20809389754356528,0.1921882723731427,0.9432789432789432,ns
ROI.10 [],ROI.21 [],8,6,0.20809389754356528,0.18720751592835475,0.7545787545787546,ns
ROI.10 [],ROI.22 [],8,11,0.20809389754356528,0.2903631478950372,0.07541478129713425,ns
ROI.10 [],ROI.27 [],8,1,0.20809389754356528,0.0220163837398263,1.0,ns
ROI.10 [],ROI.31 [],8,8,0.20809389754356528,0.28709473270190294,0.2786324786324786,ns
ROI.10 [],ROI.A [],8,3,0.20809389754356528,0.032344208297009465,0.012121212121212121,*
ROI.10 [],ROI.B [],8,2,0.20809389754356528,0.01231815420347635,0.044444444444444446,*
ROI.10 [],ROI.C [],8,2,0.20809389754356528,0.0434620306109202,0.044444444444444446,*
ROI.10 [],ROI.D [],8,11,0.20809389754356528,0.305149802151968,0.06202534995104655,ns
ROI.10 [],ROI.E [],8,8,0.20809389754356528,0.16216289128438796,0.5737373737373737,ns
ROI.10 [],ROI.F [],8,8,0.20809389754356528,0.31389482118471945,0.037917637917637914,*
ROI.11 [],ROI.12 [],7,6,0.20599444340330178,0.20479103461116374,0.9452214452214451,ns
ROI.11 [],ROI.13 [],7,7,0.20599444340330178,0.2153654461701971,0.7103729603729605,ns
ROI.11 [],ROI.14 [],7,5,0.20599444340330178,0.21371063441663463,0.7550505050505051,ns
ROI.11 [],ROI.16 [],7,5,0.20599444340330178,0.20823773494154377,0.8762626262626263,ns
ROI.11 [],ROI.17 [],7,6,0.20599444340330178,0.17635905109544223,0.6282051282051282,ns
ROI.11 [],ROI.18 [],7,7,0.20599444340330178,0.19734938307682653,0.8047785547785549,ns
ROI.11 [],ROI.19 [],7,7,0.20599444340330178,0.18258003664133343,0.7103729603729605,ns
ROI.11 [],ROI.20 [],7,5,0.20599444340330178,0.1921882723731427,0.7550505050505051,ns
ROI.11 [],ROI.21 [],7,6,0.20599444340330178,0.18720751592835475,0.6282051282051282,ns
ROI.11 [],ROI.22 [],7,11,0.20599444340330178,0.2903631478950372,0.04411764705882353,*
ROI.11 [],ROI.27 [],7,1,0.20599444340330178,0.0220163837398263,1.0,ns
ROI.11 [],ROI.31 [],7,8,0.20599444340330178,0.28709473270190294,0.23185703185703188,ns
ROI.11 [],ROI.A [],7,3,0.20599444340330178,0.032344208297009465,0.016666666666666666,*
ROI.11 [],ROI.B [],7,2,0.20599444340330178,0.01231815420347635,0.05555555555555555,ns
ROI.11 [],ROI.C [],7,2,0.20599444340330178,0.0434620306109202,0.05555555555555555,ns
ROI.11 [],ROI.D [],7,11,0.20599444340330178,0.305149802151968,0.03456510809451986,*
