ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],1,1.0,0.0,1
ROI.03 [],1,1.0,0.0,1
ROI.04 [],2,1.0,0.0,2
ROI.06 [],1,1.0,0.0,1
ROI.09 [],8,1.1428571428571428,0.14285714285714285,7
ROI.10 [],11,1.375,0.18298126367784995,8
ROI.11 [],9,1.2857142857142858,0.18442777839082938,7
ROI.12 [],7,1.1666666666666667,0.16666666666666669,6
ROI.13 [],8,1.1428571428571428,0.14285714285714285,7
ROI.14 [],5,1.0,0.0,5
ROI.16 [],8,1.6,0.39999999999999997,5
ROI.17 [],8,1.3333333333333333,0.210818510677892,6
ROI.18 [],10,1.4285714285714286,0.20203050891044214,7
ROI.19 [],9,1.2857142857142858,0.18442777839082938,7
ROI.20 [],5,1.0,0.0,5
ROI.21 [],6,1.0,0.0,6
ROI.22 [],21,1.9090909090909092,0.3920701573245059,11
ROI.27 [],1,1.0,0.0,1
ROI.31 [],15,1.875,0.479490056503484,8
ROI.A [],3,1.0,0.0,3
ROI.B [],2,1.0,0.0,2
ROI.C [],2,1.0,0.0,2
ROI.D [],21,1.9090909090909092,0.36815375875121065,11
ROI.E [],12,1.5,0.1889822365046136,8
ROI.F [],13,1.625,0.2630521404045756,8
