ROI,mean0,sd0,thr
ROI.E [],0.0221665181668446,0.011689339569295418,0.08061321601332169
ROI.C [],0.009573824577390717,0.007788218593513195,0.048514917544956696
ROI.A [],0.007381945347584119,0.002022385173196242,0.017493871213565326
ROI.F [],0.01919983519841958,0.020044763664415505,0.11942365352049711
ROI.B [],0.0009409234885763991,0.001219973364764597,0.007040790312399384
ROI.D [],0.04738717735970629,0.029431207144442986,0.1945432130819212
ROI.01 [],0.0216039646960458,0.013415644374213293,0.08868218656711227
ROI.02 [],0.01335005849210573,0.008196014255088471,0.054330129767548085
ROI.03 [],0.02218258799094048,0.008838350685010196,0.06637434141599147
ROI.04 [],0.013218835073426966,0.006200299817465086,0.0442203341607524
ROI.05 [],0.003546289642225103,0.0029453130085865214,0.01827285468515771
ROI.06 [],0.008015742651553422,0.003923830848513264,0.02763489689411974
ROI.09 [],0.024505905272281296,0.012045495319708763,0.0847333818708251
ROI.10 [],0.028157314254333078,0.011805044308777277,0.08718253579821947
ROI.11 [],0.024785408484318164,0.010979069446165442,0.07968075571514538
ROI.12 [],0.022812868380411862,0.015762391932810774,0.10162482804446574
ROI.13 [],0.026646316013541053,0.014478274856462647,0.0990376902958543
ROI.14 [],0.023046973167974192,0.01411390318352727,0.09361648908561054
ROI.16 [],0.02605008602715277,0.011322490913820394,0.08266254059625473
ROI.17 [],0.020531743839747894,0.013114012499075334,0.08610180633512457
ROI.18 [],0.025962839734545093,0.014527018731958483,0.0985979333943375
ROI.19 [],0.021760353322330464,0.00999214382898216,0.07172107246724126
ROI.20 [],0.023063428813442092,0.011628329475172868,0.08120507618930643
ROI.21 [],0.023970999097507502,0.014674537860529456,0.09734368840015478
ROI.22 [],0.0462935060216245,0.02397928313701384,0.1661899217066937
ROI.23 [],0.012820318795465732,0.011569716906689823,0.07066890332891484
ROI.24 [],0.014965664051338841,0.009370038867032027,0.06181585838649897
ROI.26 [],0.00242294062483773,0.0030575490312944585,0.01771068578131002
ROI.27 [],0.0026409411184160976,0.0028742821431208022,0.01701235183402011
ROI.29 [],0.0025191161719292044,0.0031699672404557934,0.018368952374208172
ROI.30 [],0.004081042630594435,0.0032443288220504836,0.020302686740846853
ROI.31 [],0.01609108583759063,0.019832345671322908,0.11525281419420517
