ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],100.778,20.778000000000006,80,100
ROI.E [],119.278,39.278000000000006,80,100
ROI.D [],58.777,28.777,30,50
ROI.09 [],119.278,39.278000000000006,80,100
ROI.10 [],100.778,20.778000000000006,80,100
ROI.10 [],119.278,39.278000000000006,80,100
ROI.11 [],94.778,14.778000000000006,80,100
ROI.11 [],100.778,20.778000000000006,80,100
ROI.11 [],119.278,39.278000000000006,80,100
ROI.12 [],119.779,39.778999999999996,80,100
ROI.13 [],99.778,19.778000000000006,80,100
ROI.13 [],119.278,39.278000000000006,80,100
ROI.14 [],119.779,39.778999999999996,80,100
ROI.18 [],99.778,19.778000000000006,80,100
ROI.18 [],119.278,39.278000000000006,80,100
ROI.21 [],98.779,18.778999999999996,80,100
ROI.21 [],119.278,39.278000000000006,80,100
ROI.22 [],58.291,28.290999999999997,30,50
