Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,1mw,2,25.715125000000004,14.78200000000001,10.933124999999993,59.703071672355065,0.010662102141378397,42.216446837188734,*
10s,20s,13,25.517339743589744,24.312400366300363,1.204939377289379,1.0693472611424544,0.3059519630489999,0.2965835677943153,ns
10s,2hz,5,25.47161666666667,27.26184166666667,-1.7902249999999982,-1.4083051359946057,0.23181332006909833,-0.6298132034292049,ns
10s,5hz,15,25.54371111111111,26.63557111111111,-1.0918599999999956,-0.7256566143492563,0.4800048687829611,-0.18736373216266183,ns
10s,5s,3,24.404527777777776,29.613999999999994,-5.209472222222213,-1.2565104321854152,0.33580398764505703,-0.7254466362618225,ns
1mw,2hz,2,14.78200000000001,27.482104166666666,-12.700104166666655,-11.87781306626659,0.05347129152692986,-8.398882164823284,ns
1mw,5hz,2,14.78200000000001,22.789949999999997,-8.007949999999983,-2.063133622744074,0.28732720692718783,-1.4588557751363032,ns
1mw,5s,2,14.78200000000001,26.782499999999995,-12.000499999999985,-24.292510121457514,0.02619163433473808,-17.17739863892545,*
20s,2hz,5,21.52995142857143,31.4822,-9.952248571428573,-2.2173482699835145,0.09087987416804764,-0.991628292294939,ns
20s,2mw,5,14.17997142857143,34.081,-19.901028571428572,-4.602299556029879,0.010013530268596027,-2.0582109320199824,*
20s,5hz,15,23.35750412698412,27.401444444444444,-4.043940317460316,-3.229534175748434,0.006054239961058667,-0.8338621385787589,**
20s,5s,5,21.681171428571428,24.845248888888886,-3.1640774603174577,-0.509645043379864,0.6371312046345071,-0.22792019227864102,ns
20s,Ctrl,2,17.15067857142857,54.27699999999999,-37.126321428571416,-184.54411503639324,0.003449655066711486,-130.49239517030395,**
20s,Far Light Control,2,17.15067857142857,31.288,-14.137321428571429,-70.27250133143997,0.009058690003655383,-49.69016222240189,**
2hz,2mw,2,38.033,46.787000000000006,-8.754000000000005,-inf,0.0,0.0,***
2hz,5hz,7,30.339315476190475,26.438604761904763,3.9007107142857156,1.7664397526538718,0.12775184332801406,0.6676514702143703,ns
2hz,5s,4,32.75755208333334,24.36231111111111,8.395240972222226,1.8218096535945254,0.16602044831060195,0.9109048267972627,ns
2hz,Ctrl,2,38.033,54.27699999999999,-16.243999999999986,-inf,0.0,0.0,***
2hz,Far Light Control,3,34.70777777777778,26.788333333333327,7.919444444444449,6.743140964995252,0.021292646943765935,3.893154251323602,*
2mw,5hz,2,46.787000000000006,28.534,18.253000000000007,75.11522633744849,0.008474742038898635,53.11448591357218,**
2mw,5s,4,36.032000000000004,22.23731111111111,13.794688888888892,2.1225949647317885,0.12387725379353938,1.0612974823658943,ns
2mw,Ctrl,2,46.787000000000006,54.27699999999999,-7.489999999999981,-inf,0.0,0.0,***
2mw,Far Light Control,2,46.787000000000006,31.288,15.499000000000006,inf,0.0,0.0,***
5hz,5s,5,26.151846666666664,26.545248888888885,-0.393402222222219,-0.12232968392400453,0.9085376505858274,-0.054707497784027476,ns
5hz,Ctrl,2,28.534,54.27699999999999,-25.742999999999988,-105.93827160493808,0.006009167937206757,-74.909670239034,**
5hz,Far Light Control,3,27.748466666666662,26.788333333333327,0.9601333333333363,0.25832381323387577,0.8203106052780266,0.14914332310866876,ns
5s,Ctrl,2,21.942122222222224,54.27699999999999,-32.33487777777776,-11.003206279468076,0.05769915059696453,-7.780441775006278,ns
5s,Far Light Control,3,23.555581481481482,26.788333333333327,-3.2327518518518494,-0.5095599265314705,0.661019628255572,-0.29419456075119044,ns
Ctrl,Far Light Control,2,54.27699999999999,31.288,22.988999999999987,inf,0.0,0.0,***
