Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,1mw,32,2,24.4675625,14.78200000000001,0.06094866653739504,ns
10s,20s,32,79,24.4675625,22.788506329113925,0.41374862579465943,ns
10s,2hz,32,28,24.4675625,30.47785714285714,0.03586116477568106,*
10s,2mw,32,8,24.4675625,30.53125,0.5530117714296943,ns
10s,5hz,32,40,24.4675625,26.690999999999995,0.7984495070691945,ns
10s,5s,32,27,24.4675625,23.35551851851852,0.7665096520300829,ns
10s,Ctrl,32,3,24.4675625,53.44399999999999,0.004963226312541482,**
10s,Far Light Control,32,3,24.4675625,26.788333333333327,0.5345814232195825,ns
1mw,20s,2,79,14.78200000000001,22.788506329113925,0.6588088074475621,ns
1mw,2hz,2,28,14.78200000000001,30.47785714285714,0.19710783268731735,ns
1mw,2mw,2,8,14.78200000000001,30.53125,0.04810682788851934,*
1mw,5hz,2,40,14.78200000000001,26.690999999999995,0.07018022719832685,ns
1mw,5s,2,27,14.78200000000001,23.35551851851852,0.46399442526644086,ns
1mw,Ctrl,2,3,14.78200000000001,53.44399999999999,0.1386406338132186,ns
1mw,Far Light Control,2,3,14.78200000000001,26.788333333333327,0.1386406338132186,ns
20s,2hz,79,28,22.788506329113925,30.47785714285714,0.03617825782613556,*
20s,2mw,79,8,22.788506329113925,30.53125,0.05701682717475591,ns
20s,5hz,79,40,22.788506329113925,26.690999999999995,0.030473021146414783,*
20s,5s,79,27,22.788506329113925,23.35551851851852,0.924877419386794,ns
20s,Ctrl,79,3,22.788506329113925,53.44399999999999,0.0035432432822820824,**
20s,Far Light Control,79,3,22.788506329113925,26.788333333333327,0.5697554570227178,ns
2hz,2mw,28,8,30.47785714285714,30.53125,0.5051785578255279,ns
2hz,5hz,28,40,30.47785714285714,26.690999999999995,0.1495515944909919,ns
2hz,5s,28,27,30.47785714285714,23.35551851851852,0.08738895554734923,ns
2hz,Ctrl,28,3,30.47785714285714,53.44399999999999,0.029744932450907747,*
2hz,Far Light Control,28,3,30.47785714285714,26.788333333333327,0.6159699641572192,ns
2mw,5hz,8,40,30.53125,26.690999999999995,0.0733466798247644,ns
2mw,5s,8,27,30.53125,23.35551851851852,0.16282076141857738,ns
2mw,Ctrl,8,3,30.53125,53.44399999999999,0.01783319593448533,*
2mw,Far Light Control,8,3,30.53125,26.788333333333327,1.0,ns
5hz,5s,40,27,26.690999999999995,23.35551851851852,0.3736806522817947,ns
5hz,Ctrl,40,3,26.690999999999995,53.44399999999999,0.00507155323391746,**
5hz,Far Light Control,40,3,26.690999999999995,26.788333333333327,0.9808904225756484,ns
5s,Ctrl,27,3,23.35551851851852,53.44399999999999,0.005640544246135488,**
5s,Far Light Control,27,3,23.35551851851852,26.788333333333327,0.8355426535025396,ns
Ctrl,Far Light Control,3,3,53.44399999999999,26.788333333333327,0.07219819770165753,ns
