Group_A,Group_B,n_paired_ROIs,Mean_A,Mean_B,Mean_Diff,t_statistic,p_value,Cohens_d,Significance
10s,1mw,2,0.18852243140122124,0.27987718882335877,-0.09135475742213753,-2.21174189465289,0.27032514941954494,-1.563937691943441,ns
10s,20s,13,0.11704982915065323,0.20313287895484228,-0.08608304980418904,-15.208676991838296,3.318117379675293e-09,-4.218128055849415,***
10s,2hz,5,0.13982225929452713,0.2391024673308971,-0.09928020803637001,-5.096484814589819,0.006999728517266123,-2.27921729834365,**
10s,5hz,15,0.12657950945072896,0.22089079545446172,-0.09431128600373272,-9.95120566030532,9.924528008129427e-08,-2.569390253136499,***
10s,5s,3,0.1706039111735701,0.27625519532500004,-0.10565128415142995,-1.3210220093850353,0.31738096666096915,-0.7626924127238707,ns
1mw,2hz,2,0.27987718882335877,0.3074850200875129,-0.027607831264154087,-1.3872493638276513,0.3976220413338842,-0.9809334323592562,ns
1mw,5hz,2,0.27987718882335877,0.3533304108296503,-0.07345322200629151,-2.6537687357499165,0.22941713719894596,-1.876497868749617,ns
1mw,5s,2,0.27987718882335877,0.37215811750937133,-0.09228092868601259,-8.725369370995837,0.07264496898606837,-6.169767850588557,ns
20s,2hz,5,0.26368388668645637,0.21978520920393607,0.04389867748252025,1.2912051119321162,0.2661984933808641,0.5774444806350872,ns
20s,2mw,5,0.17304103938555787,0.09197083641927357,0.0810702029662843,1.784658446624801,0.14887398840482818,0.798123520654447,ns
20s,5hz,15,0.22624628215651443,0.210253457272228,0.01599282488428649,1.4076661875889427,0.18104492803944142,0.3634578467700841,ns
20s,5s,5,0.21516859072077787,0.13852232637802137,0.07664626434275651,2.5468086070442553,0.0635201025894328,1.138967434206501,ns
20s,Ctrl,2,0.37648340296738375,0.17338829894294405,0.2030951040244397,59.93683951166909,0.01062052515354221,42.38174566159101,*
20s,Far Light Control,2,0.37648340296738375,0.4080593584169146,-0.031575955449530846,-1.223119201129647,0.43632008658186544,-0.864875881318246,ns
2hz,2mw,2,0.25919187477011024,0.18521726013045756,0.07397461463965269,31.93976340484917,0.01992537863114281,22.58482329306278,*
2hz,5hz,7,0.24484229802781515,0.2650049221367609,-0.020162624108945804,-2.397557569346372,0.053472545457733264,-0.9061915832072853,ns
2hz,5s,4,0.28333844742881154,0.3243796046647063,-0.0410411572358947,-2.8420520201931843,0.06553582273230395,-1.4210260100965921,ns
2hz,Ctrl,2,0.25919187477011024,0.17338829894294405,0.08580357582716619,12.951732956557997,0.04905592506186273,9.158258201699452,*
2hz,Far Light Control,3,0.27704332095144796,0.3087439039447726,-0.03170058299332462,-0.26782865702800723,0.8139240535437454,-0.15463094723181592,ns
2mw,5hz,2,0.18521726013045756,0.27355037446289754,-0.08833311433243998,-378.1067882391999,0.0016836997056052197,-267.36187397660416,**
2mw,5s,4,0.11829716983483762,0.15475591116249415,-0.03645874132765654,-1.1387602128447663,0.337505533538299,-0.5693801064223831,ns
2mw,Ctrl,2,0.18521726013045756,0.17338829894294405,0.011828961187513504,2.7452992415558644,0.22238454556044873,1.9412197100904371,ns
2mw,Far Light Control,2,0.18521726013045756,0.4080593584169146,-0.22284209828645704,-8.334830945723743,0.0760172838867116,-5.893615481764743,ns
5hz,5s,5,0.29590935068902136,0.2763935539230165,0.01951579676600488,0.6240171837399445,0.5664401143477629,0.2790689683940985,ns
5hz,Ctrl,2,0.27355037446289754,0.17338829894294405,0.10016207551995349,24.578526922477554,0.025887183878507494,17.37964305846,*
5hz,Far Light Control,3,0.2993048836036405,0.3087439039447726,-0.009439020341132087,-0.07491138402204028,0.9471038099792358,-0.04325010773049239,ns
5s,Ctrl,2,0.2766010918200411,0.17338829894294405,0.10321279287709709,7.643768700662504,0.08281577606540921,5.404960682059941,ns
5s,Far Light Control,3,0.3133154874461049,0.3087439039447726,0.004571583501332262,0.0332231126982275,0.976514191588363,0.01918137305963892,ns
Ctrl,Far Light Control,2,0.17338829894294405,0.4080593584169146,-0.23467105947397054,-10.463568166459025,0.06065733143107093,-7.3988600059108665,ns
