ROI,Total_Spikes,Mean_per_replicate,SEM,n_replicates
ROI.01 [],1,1.0,0.0,1
ROI.02 [],2,1.0,0.0,2
ROI.03 [],2,1.0,0.0,2
ROI.04 [],2,1.0,0.0,2
ROI.06 [],1,1.0,0.0,1
ROI.09 [],9,1.2857142857142858,0.18442777839082938,7
ROI.10 [],11,1.375,0.18298126367784995,8
ROI.11 [],13,1.625,0.2630521404045756,8
ROI.12 [],8,1.1428571428571428,0.14285714285714285,7
ROI.13 [],8,1.1428571428571428,0.14285714285714285,7
ROI.14 [],6,1.0,0.0,6
ROI.16 [],9,1.8,0.48989794855663565,5
ROI.17 [],9,1.5,0.34156502553198664,6
ROI.18 [],10,1.4285714285714286,0.20203050891044214,7
ROI.19 [],9,1.2857142857142858,0.18442777839082938,7
ROI.20 [],6,1.2,0.19999999999999998,5
ROI.21 [],8,1.3333333333333333,0.21081851067789195,6
ROI.22 [],24,2.0,0.4438126822992973,12
ROI.24 [],1,1.0,0.0,1
ROI.27 [],1,1.0,0.0,1
ROI.31 [],22,2.2,0.4898979485566356,10
ROI.A [],3,1.0,0.0,3
ROI.B [],3,1.0,0.0,3
ROI.C [],1,1.0,0.0,1
ROI.D [],24,2.0,0.4605661864718383,12
ROI.E [],12,1.5,0.1889822365046136,8
ROI.F [],17,1.8888888888888888,0.3888888888888889,9
