ROI_A,ROI_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.01 [],ROI.02 [],1,2,1.0,1.0,1.0,ns
ROI.01 [],ROI.03 [],1,2,1.0,1.0,1.0,ns
ROI.01 [],ROI.04 [],1,2,1.0,1.0,1.0,ns
ROI.01 [],ROI.06 [],1,1,1.0,1.0,1.0,ns
ROI.01 [],ROI.09 [],1,7,1.0,1.2857142857142858,1.0,ns
ROI.01 [],ROI.10 [],1,8,1.0,1.375,1.0,ns
ROI.01 [],ROI.11 [],1,8,1.0,1.625,1.0,ns
ROI.01 [],ROI.12 [],1,7,1.0,1.1428571428571428,1.0,ns
ROI.01 [],ROI.13 [],1,7,1.0,1.1428571428571428,1.0,ns
ROI.01 [],ROI.14 [],1,6,1.0,1.0,1.0,ns
ROI.01 [],ROI.16 [],1,5,1.0,1.8,1.0,ns
ROI.01 [],ROI.17 [],1,6,1.0,1.5,1.0,ns
ROI.01 [],ROI.18 [],1,7,1.0,1.4285714285714286,1.0,ns
ROI.01 [],ROI.19 [],1,7,1.0,1.2857142857142858,1.0,ns
ROI.01 [],ROI.20 [],1,5,1.0,1.2,1.0,ns
ROI.01 [],ROI.21 [],1,6,1.0,1.3333333333333333,1.0,ns
ROI.01 [],ROI.22 [],1,12,1.0,2.0,1.0,ns
ROI.01 [],ROI.24 [],1,1,1.0,1.0,1.0,ns
ROI.01 [],ROI.27 [],1,1,1.0,1.0,1.0,ns
ROI.01 [],ROI.31 [],1,10,1.0,2.2,1.0,ns
ROI.01 [],ROI.A [],1,3,1.0,1.0,1.0,ns
ROI.01 [],ROI.B [],1,3,1.0,1.0,1.0,ns
ROI.01 [],ROI.C [],1,1,1.0,1.0,1.0,ns
ROI.01 [],ROI.D [],1,12,1.0,2.0,1.0,ns
ROI.01 [],ROI.E [],1,8,1.0,1.5,1.0,ns
ROI.01 [],ROI.F [],1,9,1.0,1.8888888888888888,1.0,ns
ROI.02 [],ROI.03 [],2,2,1.0,1.0,1.0,ns
ROI.02 [],ROI.04 [],2,2,1.0,1.0,1.0,ns
ROI.02 [],ROI.06 [],2,1,1.0,1.0,1.0,ns
ROI.02 [],ROI.09 [],2,7,1.0,1.2857142857142858,0.5444539772747026,ns
ROI.02 [],ROI.10 [],2,8,1.0,1.375,0.4131761509873123,ns
ROI.02 [],ROI.11 [],2,8,1.0,1.625,0.29564182120919824,ns
ROI.02 [],ROI.12 [],2,7,1.0,1.1428571428571428,0.7892680261342813,ns
ROI.02 [],ROI.13 [],2,7,1.0,1.1428571428571428,0.7892680261342813,ns
ROI.02 [],ROI.14 [],2,6,1.0,1.0,1.0,ns
ROI.02 [],ROI.16 [],2,5,1.0,1.8,0.4624327264504764,ns
ROI.02 [],ROI.17 [],2,6,1.0,1.5,0.5126907602619233,ns
ROI.02 [],ROI.18 [],2,7,1.0,1.4285714285714286,0.3729984836134872,ns
ROI.02 [],ROI.19 [],2,7,1.0,1.2857142857142858,0.5444539772747026,ns
ROI.02 [],ROI.20 [],2,5,1.0,1.2,0.7518296340458492,ns
ROI.02 [],ROI.21 [],2,6,1.0,1.3333333333333333,0.5083315735521454,ns
ROI.02 [],ROI.22 [],2,12,1.0,2.0,0.3368724991390213,ns
ROI.02 [],ROI.24 [],2,1,1.0,1.0,1.0,ns
ROI.02 [],ROI.27 [],2,1,1.0,1.0,1.0,ns
ROI.02 [],ROI.31 [],2,10,1.0,2.2,0.19709776608314256,ns
ROI.02 [],ROI.A [],2,3,1.0,1.0,1.0,ns
ROI.02 [],ROI.B [],2,3,1.0,1.0,1.0,ns
ROI.02 [],ROI.C [],2,1,1.0,1.0,1.0,ns
ROI.02 [],ROI.D [],2,12,1.0,2.0,0.33759685188545263,ns
ROI.02 [],ROI.E [],2,8,1.0,1.5,0.2838764745722945,ns
ROI.02 [],ROI.F [],2,9,1.0,1.8888888888888888,0.33785828656587746,ns
ROI.03 [],ROI.04 [],2,2,1.0,1.0,1.0,ns
ROI.03 [],ROI.06 [],2,1,1.0,1.0,1.0,ns
ROI.03 [],ROI.09 [],2,7,1.0,1.2857142857142858,0.5444539772747026,ns
ROI.03 [],ROI.10 [],2,8,1.0,1.375,0.4131761509873123,ns
ROI.03 [],ROI.11 [],2,8,1.0,1.625,0.29564182120919824,ns
ROI.03 [],ROI.12 [],2,7,1.0,1.1428571428571428,0.7892680261342813,ns
ROI.03 [],ROI.13 [],2,7,1.0,1.1428571428571428,0.7892680261342813,ns
ROI.03 [],ROI.14 [],2,6,1.0,1.0,1.0,ns
ROI.03 [],ROI.16 [],2,5,1.0,1.8,0.4624327264504764,ns
ROI.03 [],ROI.17 [],2,6,1.0,1.5,0.5126907602619233,ns
ROI.03 [],ROI.18 [],2,7,1.0,1.4285714285714286,0.3729984836134872,ns
ROI.03 [],ROI.19 [],2,7,1.0,1.2857142857142858,0.5444539772747026,ns
ROI.03 [],ROI.20 [],2,5,1.0,1.2,0.7518296340458492,ns
ROI.03 [],ROI.21 [],2,6,1.0,1.3333333333333333,0.5083315735521454,ns
ROI.03 [],ROI.22 [],2,12,1.0,2.0,0.3368724991390213,ns
ROI.03 [],ROI.24 [],2,1,1.0,1.0,1.0,ns
ROI.03 [],ROI.27 [],2,1,1.0,1.0,1.0,ns
ROI.03 [],ROI.31 [],2,10,1.0,2.2,0.19709776608314256,ns
ROI.03 [],ROI.A [],2,3,1.0,1.0,1.0,ns
