ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.F [],95.776,25.776,70,80,10s1
ROI.31 [],95.776,25.776,70,80,10s1
ROI.31 [],150.287,40.287000000000006,110,120,10s1
ROI.E [],97.777,27.777,70,80,10s2
ROI.F [],56.276,26.276000000000003,30,40,10s2
ROI.09 [],97.777,27.777,70,80,10s2
ROI.10 [],97.777,27.777,70,80,10s2
ROI.11 [],98.284,28.28400000000001,70,80,10s2
ROI.12 [],97.777,27.777,70,80,10s2
ROI.13 [],98.284,28.28400000000001,70,80,10s2
ROI.14 [],97.777,27.777,70,80,10s2
ROI.16 [],98.284,28.28400000000001,70,80,10s2
ROI.17 [],103.277,33.277,70,80,10s2
ROI.18 [],97.777,27.777,70,80,10s2
ROI.19 [],101.285,31.285,70,80,10s2
ROI.20 [],103.277,33.277,70,80,10s2
ROI.21 [],100.782,30.782,70,80,10s2
ROI.11 [],115.279,5.278999999999996,110,120,10s4
ROI.13 [],118.278,8.278000000000006,110,120,10s4
ROI.24 [],142.777,32.77699999999999,110,120,10s5
ROI.31 [],64.276,34.276,30,40,10s5
ROI.31 [],111.278,1.2780000000000058,110,120,10s5
ROI.E [],45.283,15.283,30,40,10s6
ROI.E [],51.786,21.786,30,40,10s6
ROI.10 [],45.787,15.787,30,40,10s6
ROI.10 [],51.786,21.786,30,40,10s6
ROI.11 [],51.786,21.786,30,40,10s6
ROI.11 [],89.778,19.77800000000001,70,80,10s6
ROI.12 [],52.278,22.278,30,40,10s6
ROI.17 [],51.277,21.277,30,40,10s6
ROI.18 [],51.277,21.277,30,40,10s6
ROI.19 [],51.786,21.786,30,40,10s6
ROI.F [],145.276,15.27600000000001,130,150,1mw3
ROI.31 [],144.288,14.288000000000013,130,150,1mw3
ROI.A [],86.289,6.2890000000000015,80,100,20s1
ROI.B [],92.278,12.278000000000006,80,100,20s1
ROI.D [],34.778,4.777999999999999,30,50,20s1
ROI.D [],60.292,30.292,30,50,20s1
ROI.D [],88.287,8.287000000000006,80,100,20s1
ROI.D [],142.777,12.776999999999989,130,150,20s1
ROI.03 [],92.777,12.777,80,100,20s1
ROI.22 [],34.778,4.777999999999999,30,50,20s1
ROI.22 [],49.277,19.277,30,50,20s1
ROI.22 [],60.292,30.292,30,50,20s1
ROI.22 [],88.287,8.287000000000006,80,100,20s1
ROI.22 [],142.777,12.776999999999989,130,150,20s1
ROI.27 [],85.777,5.777000000000001,80,100,20s1
ROI.02 [],173.286,43.286,130,150,20s2
ROI.E [],52.784,22.784,30,50,20s3
ROI.E [],144.788,14.788000000000013,130,150,20s3
ROI.B [],152.787,22.78700000000001,130,150,20s3
ROI.D [],40.787,10.787,30,50,20s3
ROI.D [],64.776,34.776,30,50,20s3
ROI.09 [],52.784,22.784,30,50,20s3
ROI.09 [],144.277,14.276999999999989,130,150,20s3
ROI.10 [],144.277,14.276999999999989,130,150,20s3
ROI.11 [],51.78,21.78,30,50,20s3
ROI.11 [],143.777,13.776999999999989,130,150,20s3
ROI.12 [],144.788,14.788000000000013,130,150,20s3
ROI.13 [],144.788,14.788000000000013,130,150,20s3
ROI.14 [],144.788,14.788000000000013,130,150,20s3
ROI.16 [],52.784,22.784,30,50,20s3
ROI.16 [],144.788,14.788000000000013,130,150,20s3
ROI.16 [],170.288,40.28800000000001,130,150,20s3
ROI.17 [],52.284,22.284,30,50,20s3
ROI.17 [],144.788,14.788000000000013,130,150,20s3
ROI.17 [],167.777,37.77699999999999,130,150,20s3
ROI.18 [],52.284,22.284,30,50,20s3
ROI.18 [],145.279,15.278999999999996,130,150,20s3
ROI.19 [],52.784,22.784,30,50,20s3
ROI.19 [],145.777,15.776999999999989,130,150,20s3
ROI.20 [],145.279,15.278999999999996,130,150,20s3
ROI.21 [],143.777,13.776999999999989,130,150,20s3
ROI.22 [],41.276,11.276000000000003,30,50,20s3
ROI.22 [],64.776,34.776,30,50,20s3
ROI.E [],42.277,12.277,30,50,20s4
ROI.E [],112.278,32.278000000000006,80,100,20s4
ROI.09 [],41.277,11.277,30,50,20s4
ROI.09 [],112.785,32.785,80,100,20s4
ROI.10 [],40.777,10.777,30,50,20s4
