ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.02 [],20s,5s,1,1,0.0432326501728778,0.0304595764907466,1.0,ns
ROI.03 [],20s,2mw,1,1,0.0718514394997438,0.0415441204805515,1.0,ns
ROI.04 [],2mw,5s,1,1,0.0654573192412247,0.0413209402068739,1.0,ns
ROI.09 [],10s,20s,1,5,0.1029657330022254,0.1919201269521445,1.0,ns
ROI.09 [],10s,2hz,1,1,0.1029657330022254,0.2005647148466681,1.0,ns
ROI.09 [],10s,5hz,1,2,0.1029657330022254,0.223228054080093,1.0,ns
ROI.09 [],20s,2hz,5,1,0.1919201269521445,0.2005647148466681,1.0,ns
ROI.09 [],20s,5hz,5,2,0.1919201269521445,0.223228054080093,0.8571428571428571,ns
ROI.09 [],2hz,5hz,1,2,0.2005647148466681,0.223228054080093,1.0,ns
ROI.10 [],10s,20s,3,4,0.13476687071826776,0.2491642801685186,0.05714285714285714,ns
ROI.10 [],10s,5hz,3,3,0.13476687071826776,0.22578518286001117,0.7,ns
ROI.10 [],10s,5s,3,1,0.13476687071826776,0.0844493509562574,1.0,ns
ROI.10 [],20s,5hz,4,3,0.2491642801685186,0.22578518286001117,0.8571428571428571,ns
ROI.10 [],20s,5s,4,1,0.2491642801685186,0.0844493509562574,1.0,ns
ROI.10 [],5hz,5s,3,1,0.22578518286001117,0.0844493509562574,1.0,ns
ROI.11 [],10s,20s,4,5,0.11059489506123366,0.1952711439549279,0.1111111111111111,ns
ROI.11 [],10s,5hz,4,4,0.11059489506123366,0.1788907733585303,0.8857142857142857,ns
ROI.11 [],20s,5hz,5,4,0.1952711439549279,0.1788907733585303,0.5555555555555556,ns
ROI.12 [],10s,20s,2,4,0.1284956956336371,0.20084871231375487,0.13333333333333333,ns
ROI.12 [],10s,5hz,2,2,0.1284956956336371,0.2250985952255167,1.0,ns
ROI.12 [],20s,5hz,4,2,0.20084871231375487,0.2250985952255167,1.0,ns
ROI.13 [],10s,20s,2,3,0.11780828599915955,0.24861828513519,0.2,ns
ROI.13 [],10s,5hz,2,3,0.11780828599915955,0.22238103661161532,0.4,ns
ROI.13 [],20s,5hz,3,3,0.24861828513519,0.22238103661161532,0.7,ns
ROI.14 [],10s,20s,1,3,0.1367799842561059,0.2090415498106651,1.0,ns
ROI.14 [],10s,5hz,1,2,0.1367799842561059,0.21044789338371556,1.0,ns
ROI.14 [],20s,5hz,3,2,0.2090415498106651,0.21044789338371556,1.0,ns
ROI.16 [],10s,20s,1,7,0.109462092420355,0.19989912941138135,1.0,ns
ROI.16 [],10s,5hz,1,1,0.109462092420355,0.2014845589033505,1.0,ns
ROI.16 [],20s,5hz,7,1,0.19989912941138135,0.2014845589033505,1.0,ns
ROI.17 [],10s,20s,2,6,0.12161570010817305,0.17094000702165799,0.8571428571428571,ns
ROI.17 [],10s,5hz,2,1,0.12161570010817305,0.1928738513843392,1.0,ns
ROI.17 [],20s,5hz,6,1,0.17094000702165799,0.1928738513843392,1.0,ns
ROI.18 [],10s,20s,2,5,0.13238424244419736,0.22927503013109765,0.38095238095238093,ns
ROI.18 [],10s,5hz,2,3,0.13238424244419736,0.17313952854588696,0.8,ns
ROI.18 [],20s,5hz,5,3,0.22927503013109765,0.17313952854588696,0.5714285714285714,ns
ROI.19 [],10s,20s,2,5,0.11158377623052085,0.18911322796946198,0.38095238095238093,ns
ROI.19 [],10s,2hz,2,1,0.11158377623052085,0.242942086341089,1.0,ns
ROI.19 [],10s,5hz,2,1,0.11158377623052085,0.2253829487673183,1.0,ns
ROI.19 [],20s,2hz,5,1,0.18911322796946198,0.242942086341089,1.0,ns
ROI.19 [],20s,5hz,5,1,0.18911322796946198,0.2253829487673183,1.0,ns
ROI.19 [],2hz,5hz,1,1,0.242942086341089,0.2253829487673183,1.0,ns
ROI.20 [],10s,20s,1,4,0.107466983977477,0.19787273163160246,1.0,ns
ROI.20 [],10s,5hz,1,1,0.107466983977477,0.1805290593974077,1.0,ns
ROI.20 [],20s,5hz,4,1,0.19787273163160246,0.1805290593974077,1.0,ns
ROI.21 [],10s,20s,1,4,0.1002065946696925,0.17434392933663959,1.0,ns
ROI.21 [],10s,5hz,1,3,0.1002065946696925,0.1947977461150202,1.0,ns
ROI.21 [],20s,5hz,4,3,0.17434392933663959,0.1947977461150202,0.8571428571428571,ns
ROI.22 [],20s,2hz,7,4,0.3678844723419049,0.2538293309881399,0.04242424242424242,*
ROI.22 [],20s,2mw,7,1,0.3678844723419049,0.1775386498923274,1.0,ns
ROI.22 [],20s,5hz,7,1,0.3678844723419049,0.2656381447366228,1.0,ns
ROI.22 [],20s,5s,7,9,0.3678844723419049,0.27811654291690624,0.07115384615384615,ns
ROI.22 [],20s,Ctrl,7,1,0.3678844723419049,0.1614008829438763,1.0,ns
ROI.22 [],20s,Far Light Control,7,1,0.3678844723419049,0.3736445012485707,1.0,ns
ROI.22 [],2hz,2mw,4,1,0.2538293309881399,0.1775386498923274,1.0,ns
ROI.22 [],2hz,5hz,4,1,0.2538293309881399,0.2656381447366228,1.0,ns
ROI.22 [],2hz,5s,4,9,0.2538293309881399,0.27811654291690624,0.5034965034965035,ns
ROI.22 [],2hz,Ctrl,4,1,0.2538293309881399,0.1614008829438763,1.0,ns
ROI.22 [],2hz,Far Light Control,4,1,0.2538293309881399,0.3736445012485707,1.0,ns
ROI.22 [],2mw,5hz,1,1,0.1775386498923274,0.2656381447366228,1.0,ns
ROI.22 [],2mw,5s,1,9,0.1775386498923274,0.27811654291690624,1.0,ns
ROI.22 [],2mw,Ctrl,1,1,0.1775386498923274,0.1614008829438763,1.0,ns
ROI.22 [],2mw,Far Light Control,1,1,0.1775386498923274,0.3736445012485707,1.0,ns
ROI.22 [],5hz,5s,1,9,0.2656381447366228,0.27811654291690624,1.0,ns
ROI.22 [],5hz,Ctrl,1,1,0.2656381447366228,0.1614008829438763,1.0,ns
ROI.22 [],5hz,Far Light Control,1,1,0.2656381447366228,0.3736445012485707,1.0,ns
ROI.22 [],5s,Ctrl,9,1,0.27811654291690624,0.1614008829438763,1.0,ns
ROI.22 [],5s,Far Light Control,9,1,0.27811654291690624,0.3736445012485707,1.0,ns
ROI.22 [],Ctrl,Far Light Control,1,1,0.1614008829438763,0.3736445012485707,1.0,ns
ROI.31 [],10s,1mw,4,1,0.17238031692693287,0.3050395130102889,1.0,ns
ROI.31 [],10s,2hz,4,9,0.17238031692693287,0.31274621331412344,0.002797202797202797,**
ROI.31 [],10s,5hz,4,5,0.17238031692693287,0.3508139018851264,0.015873015873015872,*
ROI.31 [],10s,5s,4,2,0.17238031692693287,0.3867442786982323,0.13333333333333333,ns
ROI.31 [],10s,Far Light Control,4,1,0.17238031692693287,0.1101129950004886,1.0,ns
ROI.31 [],1mw,2hz,1,9,0.3050395130102889,0.31274621331412344,1.0,ns
ROI.31 [],1mw,5hz,1,5,0.3050395130102889,0.3508139018851264,1.0,ns
ROI.31 [],1mw,5s,1,2,0.3050395130102889,0.3867442786982323,1.0,ns
ROI.31 [],1mw,Far Light Control,1,1,0.3050395130102889,0.1101129950004886,1.0,ns
ROI.31 [],2hz,5hz,9,5,0.31274621331412344,0.3508139018851264,0.23976023976023977,ns
ROI.31 [],2hz,5s,9,2,0.31274621331412344,0.3867442786982323,0.32727272727272727,ns
ROI.31 [],2hz,Far Light Control,9,1,0.31274621331412344,0.1101129950004886,1.0,ns
ROI.31 [],5hz,5s,5,2,0.3508139018851264,0.3867442786982323,0.38095238095238093,ns
ROI.31 [],5hz,Far Light Control,5,1,0.3508139018851264,0.1101129950004886,1.0,ns
ROI.31 [],5s,Far Light Control,2,1,0.3867442786982323,0.1101129950004886,1.0,ns
ROI.A [],20s,2mw,1,1,0.0304792173277254,0.0372968398372107,1.0,ns
ROI.A [],20s,5s,1,1,0.0304792173277254,0.0245005208030205,1.0,ns
ROI.A [],2mw,5s,1,1,0.0372968398372107,0.0245005208030205,1.0,ns
ROI.B [],20s,2mw,2,1,0.0099077341655527,0.0105787015176906,1.0,ns
ROI.D [],20s,2hz,6,4,0.38508233359286254,0.26455441855208056,0.0380952380952381,*
ROI.D [],20s,2mw,6,1,0.38508233359286254,0.1928958703685877,1.0,ns
ROI.D [],20s,5hz,6,1,0.38508233359286254,0.2814626041891723,1.0,ns
ROI.D [],20s,5s,6,10,0.38508233359286254,0.27508564072317604,0.010989010989010988,*
ROI.D [],20s,Ctrl,6,1,0.38508233359286254,0.1853757149420118,1.0,ns
ROI.D [],20s,Far Light Control,6,1,0.38508233359286254,0.4424742155852585,1.0,ns
ROI.D [],2hz,2mw,4,1,0.26455441855208056,0.1928958703685877,1.0,ns
ROI.D [],2hz,5hz,4,1,0.26455441855208056,0.2814626041891723,1.0,ns
ROI.D [],2hz,5s,4,10,0.26455441855208056,0.27508564072317604,0.945054945054945,ns
ROI.D [],2hz,Ctrl,4,1,0.26455441855208056,0.1853757149420118,1.0,ns
ROI.D [],2hz,Far Light Control,4,1,0.26455441855208056,0.4424742155852585,1.0,ns
ROI.D [],2mw,5hz,1,1,0.1928958703685877,0.2814626041891723,1.0,ns
ROI.D [],2mw,5s,1,10,0.1928958703685877,0.27508564072317604,1.0,ns
ROI.D [],2mw,Ctrl,1,1,0.1928958703685877,0.1853757149420118,1.0,ns
ROI.D [],2mw,Far Light Control,1,1,0.1928958703685877,0.4424742155852585,1.0,ns
ROI.D [],5hz,5s,1,10,0.2814626041891723,0.27508564072317604,1.0,ns
ROI.D [],5hz,Ctrl,1,1,0.2814626041891723,0.1853757149420118,1.0,ns
ROI.D [],5hz,Far Light Control,1,1,0.2814626041891723,0.4424742155852585,1.0,ns
ROI.D [],5s,Ctrl,10,1,0.27508564072317604,0.1853757149420118,1.0,ns
ROI.D [],5s,Far Light Control,10,1,0.27508564072317604,0.4424742155852585,1.0,ns
ROI.D [],Ctrl,Far Light Control,1,1,0.1853757149420118,0.4424742155852585,1.0,ns
ROI.E [],10s,20s,3,5,0.10751692443744687,0.18441927257590765,0.25,ns
ROI.E [],10s,2hz,3,1,0.10751692443744687,0.1370354952917028,1.0,ns
ROI.E [],10s,5hz,3,3,0.10751692443744687,0.15266188152481983,1.0,ns
ROI.E [],20s,2hz,5,1,0.18441927257590765,0.1370354952917028,1.0,ns
ROI.E [],20s,5hz,5,3,0.18441927257590765,0.15266188152481983,0.7857142857142857,ns
ROI.E [],2hz,5hz,1,3,0.1370354952917028,0.15266188152481983,1.0,ns
ROI.F [],10s,1mw,2,1,0.2046645458755096,0.2547148646364286,1.0,ns
ROI.F [],10s,2hz,2,8,0.2046645458755096,0.3022238268609022,0.4,ns
ROI.F [],10s,5hz,2,4,0.2046645458755096,0.3558469197741741,0.26666666666666666,ns
ROI.F [],10s,5s,2,2,0.2046645458755096,0.3575719563205104,0.3333333333333333,ns
ROI.F [],1mw,2hz,1,8,0.2547148646364286,0.3022238268609022,1.0,ns
ROI.F [],1mw,5hz,1,4,0.2547148646364286,0.3558469197741741,1.0,ns
ROI.F [],1mw,5s,1,2,0.2547148646364286,0.3575719563205104,1.0,ns
ROI.F [],2hz,5hz,8,4,0.3022238268609022,0.3558469197741741,0.3676767676767677,ns
ROI.F [],2hz,5s,8,2,0.3022238268609022,0.3575719563205104,0.4,ns
ROI.F [],5hz,5s,4,2,0.3558469197741741,0.3575719563205104,0.8,ns
