ROI,n_latencies,mean_latency_s,median_latency_s,std_latency_s,min_latency_s,max_latency_s
ROI.E [],1,21.786,21.786,0.0,21.786,21.786
ROI.09 [],3,19.445666666666664,20.78,14.32021495027998,1.2779999999999987,36.278999999999996
ROI.10 [],1,15.786999999999999,15.786999999999999,0.0,15.786999999999999,15.786999999999999
ROI.11 [],3,14.780333333333337,19.778000000000006,8.527134115411943,2.777000000000001,21.786
ROI.12 [],2,9.536999999999999,9.536999999999999,8.259,1.2779999999999987,17.796
ROI.13 [],1,21.786,21.786,0.0,21.786,21.786
ROI.14 [],2,18.779,18.779,3.9989999999999988,14.780000000000001,22.778
ROI.17 [],1,21.277,21.277,0.0,21.277,21.277
ROI.18 [],1,21.277,21.277,0.0,21.277,21.277
ROI.19 [],1,21.786,21.786,0.0,21.786,21.786
ROI.21 [],1,22.778,22.778,0.0,22.778,22.778
ROI.24 [],1,1.7780000000000058,1.7780000000000058,0.0,1.7780000000000058,1.7780000000000058
