ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s
ROI.E [],47.777,17.777,30,50
ROI.E [],52.784,22.784,30,50
ROI.E [],109.28,29.28,80,100
ROI.E [],144.788,14.788000000000011,130,150
ROI.E [],166.777,36.77699999999999,130,150
ROI.E [],196.288,66.28800000000001,130,150
ROI.F [],145.777,15.776999999999987,130,150
ROI.B [],152.787,22.787000000000006,130,150
ROI.D [],40.787,10.786999999999999,30,50
ROI.D [],64.776,34.775999999999996,30,50
ROI.D [],73.283,43.283,30,50
ROI.D [],82.777,2.777000000000001,80,100
ROI.D [],86.777,6.777000000000001,80,100
ROI.D [],139.791,9.790999999999997,130,150
ROI.D [],164.277,34.27699999999999,130,150
ROI.D [],172.278,42.27799999999999,130,150
ROI.09 [],52.784,22.784,30,50
ROI.09 [],144.277,14.276999999999987,130,150
ROI.10 [],44.787,14.786999999999999,30,50
ROI.10 [],52.284,22.284,30,50
ROI.10 [],107.277,27.277,80,100
ROI.10 [],144.277,14.276999999999987,130,150
ROI.10 [],161.776,31.77600000000001,130,150
ROI.10 [],166.777,36.77699999999999,130,150
ROI.11 [],51.78,21.78,30,50
ROI.11 [],143.777,13.776999999999987,130,150
ROI.12 [],51.78,21.78,30,50
ROI.12 [],144.788,14.788000000000011,130,150
ROI.13 [],144.788,14.788000000000011,130,150
ROI.14 [],51.281,21.281,30,50
ROI.14 [],144.788,14.788000000000011,130,150
ROI.16 [],52.784,22.784,30,50
ROI.16 [],144.788,14.788000000000011,130,150
ROI.16 [],170.288,40.28800000000001,130,150
ROI.17 [],32.284,2.283999999999999,30,50
ROI.17 [],49.779,19.779000000000003,30,50
ROI.17 [],54.279,24.279000000000003,30,50
ROI.17 [],144.788,14.788000000000011,130,150
ROI.17 [],167.777,37.77699999999999,130,150
ROI.17 [],186.778,56.77799999999999,130,150
ROI.17 [],191.776,61.77600000000001,130,150
ROI.18 [],47.777,17.777,30,50
ROI.18 [],52.284,22.284,30,50
ROI.18 [],116.79,36.790000000000006,80,100
ROI.18 [],145.279,15.278999999999996,130,150
ROI.18 [],167.277,37.27699999999999,130,150
ROI.18 [],174.778,44.77799999999999,130,150
ROI.18 [],191.776,61.77600000000001,130,150
ROI.19 [],47.777,17.777,30,50
ROI.19 [],52.784,22.784,30,50
ROI.19 [],145.777,15.776999999999987,130,150
ROI.19 [],170.288,40.28800000000001,130,150
ROI.19 [],195.777,65.77699999999999,130,150
ROI.20 [],52.284,22.284,30,50
ROI.20 [],145.279,15.278999999999996,130,150
ROI.20 [],180.781,50.781000000000006,130,150
ROI.21 [],143.777,13.776999999999987,130,150
ROI.22 [],41.276,11.276000000000003,30,50
ROI.22 [],64.776,34.775999999999996,30,50
ROI.22 [],81.781,1.781000000000006,80,100
ROI.22 [],143.777,13.776999999999987,130,150
ROI.22 [],172.278,42.27799999999999,130,150
ROI.23 [],70.284,40.284000000000006,30,50
ROI.26 [],73.785,43.785,30,50
ROI.26 [],97.777,17.777,80,100
ROI.26 [],144.277,14.276999999999987,130,150
ROI.26 [],167.277,37.27699999999999,130,150
ROI.31 [],141.777,11.776999999999987,130,150
ROI.31 [],163.787,33.787000000000006,130,150
