ROI,mean0,sd0,thr
ROI.E [],0.021607450489577046,0.00521420129818863,0.03725005438414294
ROI.C [],0.00936594390124613,0.0050932034778377175,0.024645554334759283
ROI.A [],0.004876045567158534,0.0027270225511412272,0.013057113220582216
ROI.F [],0.06131152257703538,0.04518854922240202,0.19687717024424145
ROI.B [],0.0007073209301605337,0.0006238615587656314,0.002578905606457428
ROI.D [],0.03588259514230171,0.021803180924627647,0.10129213791618466
ROI.01 [],0.014099946101985863,0.00884825989245983,0.04064472577936536
ROI.02 [],0.008109931595676259,0.004533977094760297,0.021711862879957147
ROI.03 [],0.006002484562113674,0.0047671380457977594,0.020303898699506953
ROI.04 [],0.00749890426116075,0.004661680538395915,0.021483945876348495
ROI.05 [],0.008318520715355113,0.00486441300146239,0.022911759719742283
ROI.06 [],0.01008786572178826,0.005407438491207094,0.026310181195409545
ROI.09 [],0.047769266019424175,0.023629463948392968,0.11865765786460308
ROI.10 [],0.030260930564402932,0.0072271535742008996,0.05194239128700563
ROI.11 [],0.03593176909348483,0.005392203415636713,0.05210837934039497
ROI.12 [],0.036601328560141616,0.01832917787525944,0.09158886218591994
ROI.13 [],0.03742288430271759,0.017940224981896416,0.09124355924840684
ROI.14 [],0.0440232655266957,0.02069934421147925,0.10612129816113344
ROI.16 [],0.015470630273990623,0.014674765778028115,0.05949492760807497
ROI.17 [],0.040060368468889614,0.017571404686972898,0.0927745825298083
ROI.18 [],0.03003205865917676,0.009122406032595018,0.05739927675696181
ROI.19 [],0.04723896997626027,0.02157032705715892,0.11194995114773704
ROI.20 [],0.03648069321229805,0.013679133958287104,0.07751809508715936
ROI.21 [],0.043571902570238956,0.027466936631888022,0.12597271246590303
ROI.22 [],0.053150832921023954,0.024646019088334067,0.12708889018602615
ROI.23 [],0.03393333615143085,0.026779794203789526,0.11427271876279943
ROI.24 [],0.023347382168112236,0.01339944494038502,0.0635457169892673
ROI.26 [],0.004252370744600191,0.004053638680724446,0.016413286786773527
ROI.27 [],0.0041750942779651985,0.0024133283853871247,0.011415079434126573
ROI.29 [],0.004280422771227894,0.0030217337114375373,0.013345623905540505
ROI.30 [],0.003988880858778965,0.003083264614626559,0.013238674702658642
ROI.31 [],0.07096120948909417,0.034707086519409534,0.17508246904732278
