Time (s),ROI.E [],ROI.C [],ROI.A [],ROI.F [],ROI.B [],ROI.D [],ROI.000 [],ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.24 [],ROI.26 [],ROI.27 [],ROI.29 [],ROI.30 [],ROI.31 []
0.259,0.13400980282348235,0.016167694597588083,0.011979695750952533,0.06716527408802209,0.006025031287033881,0.054134447677718356,0.0,0.018478032081236127,0.01574659058407283,0.013198737325303314,0.031785512529339116,0.010186660579199359,0.018903862715042907,0.1428756031291779,0.15092237048068535,0.1469753914797139,0.1408151006258565,0.15191796633911334,0.12742874872812088,0.11773095546253066,0.12885645338655694,0.14395957000521642,0.1334651650579146,0.11219624546413974,0.13364533268870668,0.042192092576536944,0.003471185940423653,0.02983168627681029,0.007553521108870308,0.0024435076527674457,0.010937042649244845,0.008409256620630875,0.06542718462424937
0.786,0.13209006334506124,0.014327134887034744,0.015157680053224352,0.10080382474763792,0.006693943054228495,0.07996251792513702,0.0,0.015388992534051781,0.007909512373826208,0.006820888633284509,0.03097262484526464,0.016180295348911748,0.025776101612428975,0.1468483812274006,0.14435973700393342,0.1490730827019264,0.14252454182311042,0.13875120825120973,0.1518552517179498,0.12079338048961095,0.12693928317911576,0.14137811249653165,0.12769158299167938,0.1296937764598024,0.1439851993015104,0.06433574236289906,0.044851985284420234,0.01946056221898719,0.00653615227581981,0.01086858278543947,0.00971997853822527,0.009993635443034036,0.08630975424920198
1.278,0.1213912940778805,0.013182157472593735,0.011931471409924458,0.11668127424551954,0.006724860140254167,0.03462397898427636,0.0,0.01793961884829763,0.019475101620187153,0.01605243031197293,0.024411272751093775,0.007419135626655229,0.011748419773474367,0.11616343815614949,0.12808437080775562,0.13999979534641693,0.12238086970796053,0.1387297164225514,0.13910278089107303,0.10419360584883265,0.11670826978284278,0.14809365963881133,0.1139396735907379,0.10547829039351644,0.15508089596548844,0.025002157747645352,0.03710751059207505,0.02386482872037261,0.0048955926822118875,0.011236270962315961,0.008032793245704597,0.00407893203682758,0.10354173902241202
1.778,0.10957424683286943,0.011168839599466284,0.007216798496403005,0.03969156180573706,0.004261125467415131,0.030661362595570573,0.0,0.001604364054162556,0.011198744090924655,0.018847508135050622,0.024198927330082463,0.009595161555309005,0.001898848635502694,0.09967310552190102,0.11334880868606434,0.13505945399518693,0.10230018499518645,0.12672703589441212,0.11139287111137909,0.09761646444317593,0.11485963378690585,0.11754736112296248,0.10130681864478834,0.10198049343872108,0.14043856662766907,0.020568348902722734,0.049900551853903824,0.02202619340984389,0.006331795556492601,0.005720812783427816,0.0016684955062721619,0.0011031666466351931,0.02611183988861022
2.279,0.11652644974538597,0.020127550865611563,0.006166960206450854,0.04113669851712675,0.004719985690522921,-0.004544194411215149,0.0,0.0044707222271320474,0.010898659369763926,0.0175843425956595,0.01717556465216952,0.004392219795766551,0.0010026782071765013,0.12076778792161438,0.12412959953773925,0.14207507472747166,0.14825720922825575,0.14075084336309246,0.11512056722281147,0.09879289438909758,0.1257282661183756,0.1376806797854617,0.1049131795635824,0.09422611082554307,0.13159984912306172,-0.014926405727408597,0.07547322829330341,0.019814314030489867,0.008806271928748772,0.0007944213225374894,0.006721398916242361,0.00757382959064984,0.019799804522534124
2.777,0.09764683939206796,0.010925676876491328,0.008657789627631403,-0.008462333972376737,0.0036245823275253427,-0.03390316695879978,0.0,0.020763200511411065,0.003849327355668675,0.012231579498686033,0.023331755618765774,0.005539275942304829,0.015913922757045205,0.09851639309412158,0.10284133380094043,0.09301833733473532,0.10984216946581773,0.0999791141563371,0.1274697514885157,0.08619233415588032,0.10528556623101026,0.12541144175937793,0.08675829400752919,0.07629792372352726,0.10911332801090924,-0.028213763909844432,0.08214842720786492,0.002018198350538733,0.0058404021801532705,1.1244477577013612e-05,0.005942534468942251,0.007052834570050864,0.0006809306388535648
3.28,0.09237918314755257,0.01300618695161237,0.011241467859697166,0.04010027518335953,0.0038141069526498998,0.05742504053789355,0.0,0.014314571976554533,0.004630225051689775,0.013759703275151238,0.020134156841185066,0.014577101904973015,0.018869111787568532,0.08731443771748101,0.09947917124556112,0.09901243988204561,0.10728683642312305,0.10745225716417713,0.09323160134861293,0.09386213810118166,0.08334700093088197,0.10194663815890904,0.07433611615543363,0.10584330034576381,0.10507937924249466,0.06526503111604591,0.055989661621558065,0.010888301817167628,0.004741959887756016,0.006709057582358936,0.006101887879048767,0.005038494793318564,0.04326415865363293
3.777,0.08304183926990472,0.017913768625261298,0.01204528548447963,0.03445361423958084,0.004301891201948958,-0.001991894460961807,0.0,0.021588464635271174,0.0075768207593862715,0.010640454105355263,0.02635578967995024,0.01570552475393404,0.01825107812668409,0.07022475992618336,0.09683875781784959,0.09570544409505066,0.08210078480292717,0.10630880733491775,0.08963068476425903,0.08253257931629789,0.07212265508190274,0.09296594383671304,0.06917062702452002,0.07905765279959584,0.07791269778158956,0.012553753088380486,0.05593165268573584,0.009351453685312684,0.005794125622361885,0.0017951468837849106,0.006627434746918263,0.009318088968773343,0.02504547959504052
4.287,0.07353855269263701,0.018365696623055917,0.010216625972805584,0.06526128479813743,0.0037630610665414215,0.016581513578936752,0.0,0.015661517518795444,0.0027789916666644534,0.0032971854260508723,0.02401162929769718,0.01655254569501775,0.02184335485593049,0.06637828042467245,0.08340312379577514,0.08027084295463166,0.0798233154854314,0.09932626024694174,0.0657771553412114,0.0611963601486883,0.07115950222848451,0.07735572389512464,0.055736063711482854,0.06224595272645821,0.08792378568426511,-0.00048741024239138466,0.0358135041768768,0.023614482970585417,0.006932321270629995,0.005913892738983539,0.006333316306255331,0.004971622179037222,0.06444539161868072
4.778,0.07280102783138272,0.014107601112440634,0.0025476423620763933,0.0722581658096529,0.002877869864241981,-0.0020698291223921455,0.0,0.013561533787710345,0.015177796035376294,0.011216248087322658,0.015478094193753003,-0.003767497833854991,0.0007118360825584761,0.0740098679159597,0.0928205138431376,0.06738274343253496,0.06136412861617611,0.08377018294403812,0.07226738977530954,0.06611841297226773,0.07246527602287803,0.07223180427523092,0.07227754656713652,0.09209559569576169,0.07067592981895446,-0.010399228243100198,0.04000661248322884,0.03831414721950328,0.003924598101510872,0.008463309804931768,0.007238498267277391,0.007386972581830962,0.0646641113076959
5.278,0.07254282547807153,0.0229595070345889,0.003383292808630608,0.048132581795206436,0.0032698306040412394,0.027660098006674707,0.0,0.0003527590968920552,0.00746844025918596,0.0070392180942386315,0.02299220445508276,-0.001755176881358463,0.010171279879710317,0.06401427564286073,0.09265548759869259,0.08130824909617161,0.07548471893937893,0.08400057309175916,0.07546084991537115,0.060740834504749965,0.07074066842499203,0.07167738998818989,0.06488902176607847,0.06505561941328653,0.06537096196194397,0.023521279734067823,0.07787812005439003,0.03151795193519035,0.003188679907788683,0.005944434493469689,0.005197312080641525,0.0043087541431133525,0.024090390832668496
5.779,0.06907495260808148,0.016947397124113906,0.0066824516529712065,0.058761655033686265,0.0033261798748922176,0.08467154526721014,0.0,0.006903530163427031,0.012122719958863732,0.007271521340613201,0.016178466586878392,0.006392761945687712,0.01819699593560205,0.05920793402811518,0.10634813038204387,0.09112705254292292,0.060635832933048195,0.07704099324907734,0.045420099928711835,0.06319516933898821,0.06229526517110875,0.0686878322978176,0.06710922119882895,0.1014534821815648,0.07527172133323119,0.051212761355580894,0.054437668300371986,0.023431000175033054,0.005287465369676841,0.0017976585238845403,0.003522499885781793,0.004555542826767492,0.05968205500882278
6.281,0.06503373824500026,0.017827492599298736,0.010531586095056356,0.06661683728888843,0.0025955685100102306,0.06244526324791977,0.0,0.009981480513304117,0.0075318240928169316,0.0034990126381583392,0.024113385150272212,0.01703483400594918,0.017925739287983026,0.06353293692999,0.08667720006928707,0.0867560377441617,0.05957687066044131,0.06986666854500903,0.058518276213653866,0.0784956256019679,0.05891988696692387,0.07243295815671115,0.05605508422157387,0.07853248659506874,0.0926743284900503,0.09068056574335609,0.053406621548809964,0.004843870747162909,0.008150326453615058,0.00011679857772474714,-5.9396547480751284e-05,0.005456004139958487,0.061622398569579066
