ROI,mean0,sd0,thr
ROI.E [],0.031165344546917467,0.01622905729804619,0.07985251644105604
ROI.C [],0.008801410004684273,0.005564840491612221,0.025495931479520936
ROI.A [],0.007206599262963356,0.004601430522583578,0.021010890830714092
ROI.F [],0.024908493492237015,0.03404024136515698,0.12702921758770794
ROI.B [],0.0010634631155991947,0.000767023948614643,0.0033645349614431237
ROI.D [],0.09950905115992488,0.06868452724997487,0.3055626329098495
ROI.01 [],0.00534655441593023,0.0071943919416069145,0.026929730240750974
ROI.02 [],0.006815448018228157,0.0038952025787058657,0.018501055754345755
ROI.03 [],0.01170925424674292,0.009883207725644806,0.04135887742367734
ROI.04 [],0.008987487739689192,0.007852981347750084,0.03254643178293944
ROI.05 [],0.01075636274171641,0.008341365785630526,0.03578046009860799
ROI.06 [],0.01451454537901596,0.012058826747429287,0.05069102562130382
ROI.09 [],0.039460702949250206,0.019018911097937106,0.09651743624306153
ROI.10 [],0.031453488415344684,0.01679838170351803,0.08184863352589877
ROI.11 [],0.04391466800946989,0.018357397907115554,0.09898686173081656
ROI.12 [],0.03469735609232156,0.017789348444247205,0.08806540142506317
ROI.13 [],0.040220822070354406,0.019161656421385263,0.0977057913345102
ROI.14 [],0.038358547094205234,0.018331901451811246,0.09335425144963896
ROI.16 [],0.02943457303918366,0.012713055395456063,0.06757373922555185
ROI.17 [],0.03751712613761425,0.023745035856109188,0.10875223370594182
ROI.18 [],0.02726664086509134,0.01615748278453443,0.07573908921869463
ROI.19 [],0.03583174536914652,0.016688835337579602,0.08589825138188532
ROI.20 [],0.04166218495739325,0.023670066894163365,0.11267238563988334
ROI.21 [],0.01890206644180137,0.009462600759424289,0.047289868720074235
ROI.22 [],0.09060129420920873,0.058975248082853385,0.26752703845776893
ROI.23 [],0.043942099634256875,0.0367825578624736,0.15428977322167767
ROI.24 [],0.0210738433468558,0.013788174129753208,0.06243836573611543
ROI.26 [],0.004515083010111907,0.003043442965122692,0.013645411905479982
ROI.27 [],0.003235313380939996,0.00017835278742997027,0.003770371743229907
ROI.29 [],0.0043926144341056034,0.0022442765365664236,0.011125444043804875
ROI.30 [],0.0034546162086936763,0.0031225215236389625,0.012822180779610564
ROI.31 [],0.022583643542519474,0.03471357889879467,0.12672438023890348
