ROI,mean0,sd0,thr
ROI.E [],0.013424501963974864,0.00762628144983018,0.03630334631346541
ROI.C [],0.007113302673455482,0.005054335234647167,0.022276308377396983
ROI.A [],0.006092081839192011,0.0027498177956354754,0.014341535226098438
ROI.F [],0.03495164039590683,0.0384798921312448,0.15039131678964124
ROI.B [],0.00204054479705762,0.0011918861545334287,0.005616203260657906
ROI.D [],0.06539885902936976,0.028792340629547004,0.15177588091801078
ROI.01 [],0.007464716230375542,0.005114751771980054,0.022808971546315705
ROI.02 [],0.00522412216259252,0.00432987198541557,0.01821373811883923
ROI.03 [],0.01071478628582804,0.006136147416874343,0.029123228536451072
ROI.04 [],0.009048927470232651,0.005824313925413181,0.026521869246472193
ROI.05 [],0.010083964378262254,0.005980712328577049,0.028026101363993403
ROI.06 [],0.015615438546303253,0.008024058115757886,0.03968761289357691
ROI.09 [],0.008735758871499388,0.0070425023039842475,0.02986326578345213
ROI.10 [],0.010415934933358757,0.006470776960508595,0.02982826581488454
ROI.11 [],0.018481638858327615,0.010002047772454436,0.04848778217569093
ROI.12 [],0.016288686145883514,0.011282773426913334,0.05013700642662351
ROI.13 [],0.02387504944825652,0.014765330929898714,0.06817104223795266
ROI.14 [],0.02591377471531004,0.01956139541004558,0.08459796094544678
ROI.16 [],0.011052874289430373,0.010096906841596696,0.04134359481422046
ROI.17 [],0.023118851521755527,0.013197429580789255,0.06271114026412329
ROI.18 [],0.013160280258501848,0.007340436178801166,0.03518158879490535
ROI.19 [],0.011390777730807159,0.00929285084369513,0.03926933026189255
ROI.20 [],0.0269093586385131,0.020434036464641116,0.08821146803243644
ROI.21 [],0.022983516985009965,0.013658315912714146,0.0639584647231524
ROI.22 [],0.06078565999516334,0.033860084260765505,0.16236591277745985
ROI.23 [],0.038332210610888685,0.028979965469023,0.12527210701795768
ROI.24 [],0.01441684513442902,0.00953230954353986,0.0430137737650486
ROI.26 [],0.004491524768537334,0.0015924547000242823,0.00926888886861018
ROI.27 [],0.0047855120792768815,0.002276971137460807,0.011616425491659303
ROI.29 [],0.0038174425893142605,0.0024586705813646253,0.011193454333408136
ROI.30 [],0.0038357099843652088,0.002433795517861301,0.011137096537949111
ROI.31 [],0.047221425747500004,0.04753963387015713,0.1898403273579714
