Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
10s,20s,39,70,23.344871794871803,24.545757142857145,0.7687469205837412,ns
10s,2hz,39,40,23.344871794871803,28.641974999999995,0.08972527525291644,ns
10s,2mw,39,5,23.344871794871803,29.581400000000002,0.3546147526041291,ns
10s,5hz,39,35,23.344871794871803,20.736771428571426,0.13629147339629302,ns
10s,5s,39,24,23.344871794871803,16.76066666666667,0.017037869721844574,*
10s,Ctrl,39,4,23.344871794871803,39.780249999999995,0.08995557830292938,ns
10s,Far Light Control,39,6,23.344871794871803,28.86233333333333,0.27724012479894444,ns
20s,2hz,70,40,24.545757142857145,28.641974999999995,0.46906058128889194,ns
20s,2mw,70,5,24.545757142857145,29.581400000000002,0.38944350432947894,ns
20s,5hz,70,35,24.545757142857145,20.736771428571426,0.3532838626570798,ns
20s,5s,70,24,24.545757142857145,16.76066666666667,0.009386376084294937,**
20s,Ctrl,70,4,24.545757142857145,39.780249999999995,0.1117349200530396,ns
20s,Far Light Control,70,6,24.545757142857145,28.86233333333333,0.6927896324317688,ns
2hz,2mw,40,5,28.641974999999995,29.581400000000002,0.5511960259071296,ns
2hz,5hz,40,35,28.641974999999995,20.736771428571426,0.005831376227427067,**
2hz,5s,40,24,28.641974999999995,16.76066666666667,0.005784386659077656,**
2hz,Ctrl,40,4,28.641974999999995,39.780249999999995,0.2284283141460638,ns
2hz,Far Light Control,40,6,28.641974999999995,28.86233333333333,0.8193796046811279,ns
2mw,5hz,5,35,29.581400000000002,20.736771428571426,0.01551968632116256,*
2mw,5s,5,24,29.581400000000002,16.76066666666667,0.04633275526771436,*
2mw,Ctrl,5,4,29.581400000000002,39.780249999999995,0.3892842730976598,ns
2mw,Far Light Control,5,6,29.581400000000002,28.86233333333333,0.7832281528031937,ns
5hz,5s,35,24,20.736771428571426,16.76066666666667,0.056468424745390974,ns
5hz,Ctrl,35,4,20.736771428571426,39.780249999999995,0.09924779960290271,ns
5hz,Far Light Control,35,6,20.736771428571426,28.86233333333333,0.2592738346302004,ns
5s,Ctrl,24,4,16.76066666666667,39.780249999999995,0.10063565040356456,ns
5s,Far Light Control,24,6,16.76066666666667,28.86233333333333,0.22296210550605355,ns
Ctrl,Far Light Control,4,6,39.780249999999995,28.86233333333333,0.4541742673554505,ns
