ROI,n_spikes,Mean_Amplitude,SEM
ROI.01 [],3,0.04531012349692438,0.011407248652936191
ROI.03 [],3,0.044414653430513686,0.015080439767822088
ROI.04 [],1,0.03596273524304155,0.0
ROI.05 [],1,0.0281244735328396,0.0
ROI.06 [],4,0.03170821036075053,0.007505623286170066
ROI.09 [],7,0.19570817104698826,0.027001748462235853
ROI.10 [],10,0.18631328161848637,0.023626478359068937
ROI.11 [],8,0.19929086126161855,0.027821267766127318
ROI.12 [],9,0.16101868317266932,0.026123404197143693
ROI.13 [],9,0.1836840953349352,0.02783498662705473
ROI.14 [],9,0.1555853062924181,0.022847472949219464
ROI.16 [],7,0.19088229567981413,0.04828511391476778
ROI.17 [],6,0.17091407168838754,0.02206842814762946
ROI.18 [],8,0.17548615045294919,0.02493222582033566
ROI.19 [],7,0.16814599287850682,0.020934210644099734
ROI.20 [],6,0.1604508654688285,0.030158250680857143
ROI.21 [],10,0.14862201496003866,0.02413247694241169
ROI.22 [],12,0.25452846574498456,0.026553581259931257
ROI.23 [],2,0.0386908577469007,0.0001353213864704987
ROI.27 [],3,0.014025004577747724,0.004067281861185335
ROI.30 [],1,0.0106695570326938,0.0
ROI.31 [],7,0.2756867732605243,0.06547791296030227
