ROI,mean0,sd0,thr
ROI.04 [],0.033547393463960844,0.017109019365702475,0.08487445156106826
ROI.05 [],0.03088399312734595,0.020281093222617144,0.09172727279519738
ROI.06 [],0.008067399533789679,0.002915322412908737,0.016813366772515888
ROI.07 [],0.006111592367434377,0.0025043844718257292,0.013624745782911564
ROI.08 [],0.04947676307122806,0.030831340594851223,0.14197078485578174
ROI.09 [],0.012817668837523508,0.007015425505138956,0.03386394535294038
ROI.10 [],0.1317064269113305,0.09575277246115439,0.4189647442947937
ROI.11 [],0.021480249227959037,0.00784699344840273,0.04502122957316723
ROI.12 [],0.03342029461172556,0.022243289392621764,0.10015016278959085
ROI.13 [],0.10093066011352939,0.06296212410157409,0.28981703241825163
ROI.14 [],0.020249421791144615,0.014090377110645844,0.06252055312308215
ROI.15 [],0.43483400395258814,0.3128651411247483,1.373429427326833
ROI.16 [],0.012389730400267727,0.007438950638002958,0.034706582314276604
ROI.17 [],0.0314089387987522,0.015108611715078364,0.07673477394398728
ROI.18 [],0.010331027859458745,0.004131500603662562,0.022725529670446432
ROI.19 [],0.010610726655879192,0.0033945590590617903,0.020794403833064565
ROI.20 [],0.0061448441837815134,0.003997925667096923,0.018138621185072284
ROI.02 [],0.05263942752714014,0.0331934117452642,0.15221966276293275
ROI.03 [],0.2514122755481379,0.17906879615671187,0.7886186640182735
ROI.21 [],0.10312639673702866,0.05585963318302554,0.2707052962861053
ROI.22 [],-0.182603293173232,0.045983816469848546,-0.04465184376368639
ROI.23 [],-0.24777100272904287,0.15465961633903505,0.2162078462880623
ROI.24 [],0.12904156930691835,0.07727536588687237,0.36086766696753547
ROI.25 [],-0.2566662005239258,0.16652991252497984,0.24292353705101372
