ROI,mean0,sd0,thr
ROI.04 [],0.016035832660500092,0.014632848689258468,0.0599343787282755
ROI.05 [],0.021051784992591666,0.018235612169888983,0.07575862150225862
ROI.06 [],0.005428081906267994,0.002980516971682306,0.014369632821314912
ROI.07 [],0.006769229757884316,0.0023541681248610354,0.013831734132467422
ROI.08 [],0.0026992014252722016,0.0027111447881724734,0.010832635789789621
ROI.09 [],0.013026506392468948,0.009382570428900032,0.04117421767916904
ROI.10 [],0.151151088671566,0.07472531683283665,0.3753270391700759
ROI.11 [],0.014163890947889533,0.009787765736307718,0.04352718815681268
ROI.12 [],0.023788669244446455,0.020103621445853825,0.08409953358200792
ROI.13 [],0.0647495739621185,0.04604056623099618,0.20287127265510704
ROI.14 [],0.013318959070480767,0.012453116634758702,0.05067830897475687
ROI.15 [],-0.6541146283550987,0.48255675533469417,0.7935556376489838
ROI.16 [],0.011585778826456058,0.005093214049931491,0.02686542097625053
ROI.17 [],0.02020877124134703,0.013631045773690065,0.06110190856241722
ROI.18 [],0.008323653196077549,0.004716405143254569,0.022472868625841254
ROI.19 [],0.012976092663655982,0.007163203364705588,0.03446570275777275
ROI.20 [],0.00504677828392273,0.0030574832816030267,0.01421922812873181
ROI.02 [],0.005699317328063939,0.007166032975821451,0.02719741625552829
ROI.03 [],0.011417250984957762,0.011721263715428993,0.04658104213124474
ROI.21 [],0.14891063676609756,0.09780521151518556,0.44232627131165425
ROI.22 [],-0.05473779671593667,0.03398195700143126,0.04720807428835711
ROI.23 [],-0.2048486864012864,0.1381440640929327,0.20958350587751173
ROI.24 [],0.07682682144654038,0.0657099047376405,0.2739565356594619
ROI.25 [],-0.15072209675700887,0.10229590890873974,0.15616562996921035
