filename,group,replicate,n_rois,n_spiking_rois,total_spikes,status,error
10-1.csv,10,1,6,6,8,success,
10-2.csv,10,2,2,2,4,success,
10-3.csv,10,3,5,5,7,success,
20-1.csv,20,1,5,5,12,success,
20-2.csv,20,2,2,2,5,success,
20-3.csv,20,3,6,6,9,success,
20-4.csv,20,4,2,2,5,success,
20-5.csv,20,5,5,5,8,success,
20-6.csv,20,6,3,3,5,success,
20-7.csv,20,7,8,8,17,success,
20-8.csv,20,8,7,7,9,success,
20-9.csv,20,9,5,5,13,success,
2hz1.csv,2hz,1,1,1,4,success,
2hz2.csv,2hz,2,1,1,4,success,
2hz3.csv,2hz,3,5,5,18,success,
4mW1.csv,4mW,1,2,2,4,success,
5hz1.csv,5hz,1,4,4,14,success,
5hz2.csv,5hz,2,4,4,17,success,
5hz3.csv,5hz,3,1,1,3,success,
5s1.csv,5s,1,6,6,9,success,
5s2.csv,5s,2,5,5,11,success,
5s3.csv,5s,3,3,3,5,success,
Ctrl.csv,Ctrl,1,4,4,7,success,
Ctrl2.csv,Ctrl,2,6,6,10,success,
