ROI,mean0,sd0,thr
ROI.01 [],0.03872901979510097,0.00705146531130991,0.0598834157290307
ROI.02 [],0.003899795447791486,0.001911378426799051,0.009633930728188638
ROI.04 [],0.005507471691957448,0.005722166560612844,0.02267397137379598
ROI.05 [],0.00751382596870024,0.0021613919989601133,0.01399800196558058
ROI.06 [],0.12177333510511834,0.09812631473677215,0.4161522793154348
ROI.07 [],0.002480165765239261,0.0014225427862473686,0.006747794123981367
ROI.08 [],0.0034590834753675686,0.003078708380167094,0.01269520861586885
ROI.09 [],0.011153343343003472,0.007291505708707718,0.033027860469126626
ROI.10 [],0.01714397168429799,0.0096810414584564,0.046187096059667185
ROI.11 [],0.02864091753906958,0.03606151534331716,0.13682546356902106
ROI.12 [],0.0017292684074182655,0.0017439290406632627,0.006961055529408054
