ROI,mean0,sd0,thr
ROI.01 [],0.013363135571949498,0.0017586270330295986,0.018639016671038296
ROI.02 [],0.004214865074961083,0.0017379323497711653,0.00942866212427458
ROI.04 [],0.013054039585241735,0.004087113340047681,0.025315379605384776
ROI.05 [],0.008740140522452335,0.001577491175039559,0.013472614047571012
ROI.06 [],0.034845290784281176,0.007734478668237152,0.05804872678899263
ROI.07 [],0.0032829376860102613,0.0010973250747226863,0.00657491291017832
ROI.08 [],0.0025994825406492976,0.002633797464453656,0.010500874934010265
ROI.09 [],0.009866177786852486,0.006214138577109466,0.028508593518180886
ROI.10 [],0.011640114409412807,0.005681317124225094,0.02868406578208809
ROI.11 [],0.04569031150527233,0.02449489775945053,0.11917500478362392
ROI.12 [],0.002696723631392759,0.0014819772942555424,0.007142655514159386
