ROI,mean0,sd0,thr
ROI.01 [],0.006378325325536936,0.015158101349666955,0.0518526293745378
ROI.02 [],0.007268811395857769,0.0035327880058897165,0.01786717541352692
ROI.04 [],0.00623425141453578,0.005886800863990732,0.023894654006507976
ROI.05 [],0.009559486854560487,0.004225813082715254,0.02223692610270625
ROI.06 [],0.031596739045387894,0.0401610935899946,0.1520800198153717
ROI.07 [],0.0020600368290002737,0.0009945331152090954,0.00504363617462756
ROI.08 [],0.006547284751062706,0.002900077990436418,0.015247518722371959
ROI.09 [],0.007991952161204255,0.0076800882125775466,0.031032216798936894
ROI.10 [],0.021945882730000005,0.011814161480103242,0.057388367170309734
ROI.11 [],0.15064007210614563,0.051259546625479276,0.30441871198258347
ROI.12 [],0.002642044810452025,0.001524092556106479,0.007214322478771462
