ROI,mean0,sd0,thr
ROI.01 [],0.015145373911210402,0.007308173559065794,0.03706989458840779
ROI.02 [],0.0027462618475438765,0.002341354998959055,0.009770326844421043
ROI.04 [],0.006013160205271053,0.005661913670290156,0.022998901216141523
ROI.05 [],0.003690457669476275,0.003231576242763629,0.013385186397767163
ROI.06 [],0.03654441028706885,0.03421563547173103,0.13919131670226192
ROI.07 [],0.002367086187889538,0.0011386969633879827,0.005783177078053486
ROI.08 [],0.003486991196226522,0.0032982590942136607,0.013381768478867503
ROI.09 [],0.00906783718788454,0.006631732951803031,0.028963036043293634
ROI.10 [],0.01099571382830269,0.009988828020027502,0.0409621978883852
ROI.11 [],0.04107907170855476,0.023461125802971727,0.11146244911746994
ROI.12 [],0.002528557902186681,0.0015012066591545028,0.007032177879650189
