ROI,mean0,sd0,thr
ROI.01 [],0.0076140715284801035,0.007214970996058682,0.02925898451665615
ROI.02 [],0.004426651951586537,0.002785696946564004,0.012783742791278549
ROI.04 [],0.0070190879908145105,0.0054968398589200764,0.02350960756757474
ROI.05 [],0.005237977569528763,0.004416667281175522,0.018487979413055328
ROI.06 [],0.11357720550798237,0.06898605912909397,0.3205353828952643
ROI.07 [],0.0015736600125314947,0.001426699881472281,0.005853759656948338
ROI.08 [],0.0034511174924017557,0.0027477790543328517,0.01169445465540031
ROI.09 [],0.011688165684111648,0.0116582406763996,0.046662887713310446
ROI.10 [],0.015460097229379546,0.012584364790749557,0.05321319160162821
ROI.11 [],0.05126247133363164,0.043719915640332466,0.18242221825462906
ROI.12 [],0.0019636258210890063,0.0016120945210694715,0.00679990938429742
