ROI,mean0,sd0,thr
ROI.01 [],0.01567824471837774,0.004063482451325828,0.027868692072355223
ROI.02 [],0.004328063836411037,0.002330914420685196,0.011320807098466626
ROI.04 [],0.0188635120156902,0.011711763946514504,0.053998803855233715
ROI.05 [],0.007489410541772421,0.0024839983628890225,0.01494140563043949
ROI.06 [],0.03334864678833698,0.028249129925640087,0.11809603656525725
ROI.07 [],0.0023250496856813537,0.002133585354663409,0.008725805749671581
ROI.08 [],0.0032244726537477577,0.0027840309702874435,0.011576565564610088
ROI.09 [],0.010343431916478726,0.007589667162449285,0.03311243340382658
ROI.10 [],0.02055633150707803,0.004759495181240984,0.03483481705080098
ROI.11 [],0.0780285612545261,0.02966064522707896,0.16701049693576298
ROI.12 [],0.002435836136141192,0.002514949646863435,0.009980685076731497
