ROI,mean0,sd0,thr
ROI.02 [],0.003984247985069168,0.0016095009853868102,0.008812750941229599
ROI.03 [],0.0037841816202945546,0.0035536026874560004,0.014444989682662555
ROI.04 [],0.004351499634915172,0.00480796996894774,0.01877540954175839
ROI.05 [],0.00976193754083134,0.004102754570270654,0.0220702012516433
ROI.06 [],0.0015753676157969822,0.0013393067232000486,0.005593287785397128
ROI.07 [],0.00968952653694778,0.005384007475909251,0.025841548964675533
ROI.08 [],0.018057546568970382,0.0033535947150702054,0.028118330714180996
ROI.09 [],0.032610163546310814,0.01422604232927063,0.0752882905341227
ROI.10 [],0.005120334276252724,0.005568595083412677,0.021826119526490755
ROI.11 [],0.004074342637556869,0.0035618585879696077,0.014759918401465691
ROI.12 [],0.004217608993259948,0.003260290908507534,0.01399848171878255
ROI.13 [],0.004123410711713928,0.0052171124905857815,0.01977474818347127
ROI.14 [],0.003755241646992286,0.0048441478472922,0.018287685188868887
ROI.15 [],0.007001736797076654,0.006714161417689515,0.027144221050145197
ROI.16 [],0.0032102103658290635,0.003525029387933325,0.013785298529629038
ROI.17 [],0.003389608386810837,0.0030395698773218434,0.012508318018776369
ROI.18 [],0.005203236353748941,0.00580181027031945,0.02260866716470729
ROI.19 [],0.0020530763715746947,0.001108637705113353,0.005378989486914753
ROI.20 [],0.007103179576343524,0.008530208568662788,0.032693805282331886
