ROI,mean0,sd0,thr
ROI.01 [],0.021649147884327147,0.007248237763933512,0.04339386117612769
ROI.02 [],0.02416919294044172,0.008158948277325256,0.04864603777241749
ROI.03 [],0.027456040281026654,0.007576772974978072,0.05018635920596087
ROI.04 [],0.03368217225247541,0.008020764163034074,0.057744464741577635
ROI.05 [],0.019728359512701552,0.006582623139511355,0.03947622893123562
ROI.06 [],0.013353393829403912,0.00655823939087693,0.033028112002034704
ROI.07 [],0.014835199584217921,0.011049029604193196,0.04798228839679751
ROI.08 [],0.004876925073096112,0.004124907646934353,0.01725164801389917
ROI.09 [],0.01143384778555584,0.006606093206895351,0.03125212740624189
ROI.10 [],0.012421060109606495,0.009027268345063354,0.03950286514479656
ROI.11 [],0.031098154604876343,0.011363745571576324,0.06518939131960531
ROI.12 [],0.02046865250178038,0.006261626306621341,0.03925353142164441
ROI.13 [],0.014600325265958622,0.008045216093088243,0.03873597354522335
