ROI,mean0,sd0,thr
ROI.01 [],0.004155813045262396,0.0030306456591651203,0.013247750022757757
ROI.02 [],0.26539652448537443,0.005351738637276122,0.2814517403972028
ROI.03 [],0.016267939620372412,0.0036255404992422686,0.027144561118099216
ROI.04 [],0.0026587017601663967,0.00272770165380544,0.010841806721582716
ROI.05 [],0.48092552496435836,0.005602576250182496,0.49773325371490584
ROI.06 [],0.014041379517707633,0.013150293245732839,0.05349225925490615
ROI.07 [],0.005583015332434419,0.004289935023097346,0.01845282040172646
ROI.08 [],0.51697468015179,0.005436219504778599,0.5332833386661259
ROI.09 [],0.8484747259966532,0.010011553196716587,0.8785093855868029
ROI.10 [],0.7312035413734858,0.00970045897290908,0.760304918292213
ROI.11 [],0.9123095274698798,0.006321877524732703,0.931275160044078
ROI.12 [],1.096281526727518,0.015025645333450076,1.1413584627278683
ROI.13 [],0.5458821878514872,0.007993682588937404,0.5698632356182994
ROI.14 [],7.491273870028764,0.3213362455850188,8.45528260678382
ROI.15 [],2.267262209698156,0.041546430598563146,2.3919015014938454
ROI.16 [],2.603854803972125,0.04950887125718203,2.752381417743671
ROI.17 [],0.48736896452595263,0.004356025113974498,0.5004370398678761
ROI.18 [],0.7946718105457016,0.006645198128544166,0.8146074049313341
ROI.19 [],0.006592756741842754,0.0053443568341966135,0.022625827244432593
