ROI,mean0,sd0,thr
ROI.01 [],0.006809339231456003,0.002996482341225587,0.015798786255132764
ROI.03 [],0.009740454048243575,0.005223101003340357,0.025409757058264645
ROI.04 [],0.004837116494420763,0.0025955214490622214,0.012623680841607428
ROI.05 [],0.0072573522531970015,0.0035564918843012006,0.017926827906100604
ROI.06 [],0.006908971565978858,0.003901664434732157,0.018613964870175328
ROI.07 [],0.009328470858716081,0.006015370850057608,0.02737458340888891
ROI.08 [],0.009769381467804383,0.0068480452745632156,0.03031351729149403
ROI.09 [],0.005644509513262596,0.003546952799138746,0.016285367910678833
ROI.10 [],0.012327098952762709,0.009839224201023922,0.04184477155583448
ROI.11 [],0.014126387351104438,0.011129269714549552,0.047514196494753094
ROI.12 [],0.006024825511476213,0.0042818204332155385,0.01887028681112283
ROI.13 [],0.013231512979797593,0.003718535499363573,0.02438711947788831
ROI.15 [],-0.05288624505906269,0.030163253946559405,0.03760351678061553
ROI.14 [],0.007858814001390707,0.005163793625308178,0.023350194877315242
ROI.16 [],0.0065337843408497746,0.0038730318171855266,0.018152879792406353
ROI.17 [],0.005436693411278635,0.002664891541833101,0.013431368036777937
ROI.18 [],-0.019623788225595015,0.010083478821977002,0.010626648240335993
ROI.19 [],0.004698735334375476,0.0038252231499357873,0.01617440478418284
ROI.20 [],0.004710024779267251,0.00412256986282367,0.01707773436773826
