ROI,mean0,sd0,thr
ROI.01 [],0.0053533713104517615,0.003158116242328499,0.014827720037437257
ROI.03 [],0.004351371742879859,0.0035001796046745487,0.014851910556903505
ROI.04 [],0.004487756187744722,0.0040059452188775406,0.016505591844377342
ROI.05 [],0.008510450364885139,0.00586345581797075,0.02610081781879739
ROI.06 [],0.007442156084453793,0.004746709289254124,0.021682283952216164
ROI.07 [],0.009014578805122813,0.004225956167903195,0.0216924473088324
ROI.08 [],0.009539256415869878,0.005852261731324792,0.027096041609844253
ROI.09 [],0.0035307461399141926,0.0031911215617317647,0.013104110825109486
ROI.10 [],0.019651266916673155,0.009956900201607373,0.04952196752149527
ROI.11 [],0.012571557817255526,0.010542902176736858,0.0442002643474661
ROI.12 [],0.003428420539987719,0.0033587234820009215,0.013504590985990484
ROI.13 [],0.005752820857323306,0.006464099319482145,0.02514511881576974
ROI.15 [],-0.057192533586318935,0.03598455712959014,0.05076113780245147
ROI.14 [],0.0049987703779265326,0.004028401411470885,0.017083974612339188
ROI.16 [],0.004558737850123342,0.0036601705175212293,0.01553924940268703
ROI.17 [],0.002903371118672012,0.0032720229348272753,0.012719439923153837
ROI.18 [],-0.018084192147897988,0.009951736616585624,0.011771017701858882
ROI.19 [],0.0036794616171355867,0.002477700114051647,0.011112561959290527
ROI.20 [],0.004173392290708324,0.0031063644213262962,0.013492485554687211
