Parameter,Replicate,ROI,spike_time_s
2hz,2,8,164.277
5hz,1,4,79.778
Ctrl,1,5,155.778
Ctrl,1,5,188.287
blue,1,1,45.278
blue,1,1,95.776
blue,1,1,148.276
blue,1,3,45.278
blue,1,3,96.776
blue,1,3,150.277
blue,1,4,39.277
blue,1,4,96.277
blue,1,4,146.277
blue,1,5,44.776
blue,1,5,96.277
blue,1,5,148.276
blue,1,6,46.777
blue,1,6,97.276
blue,1,6,144.277
blue,1,9,47.776
blue,1,9,97.276
blue,1,9,143.277
blue,1,10,44.776
blue,1,10,99.276
blue,1,10,143.277
blue,1,11,47.776
blue,1,11,99.276
blue,1,11,143.277
blue,1,12,46.777
blue,1,12,99.276
blue,1,12,143.277
blue,1,13,47.776
blue,1,13,83.277
blue,1,13,148.276
blue,1,14,47.776
blue,1,14,99.276
blue,1,14,143.277
