ROI,mean0,sd0,thr
ROI.02 [],0.1298210128225897,0.028255931135617182,0.2711006685006756
ROI.04 [],-0.3309951922516388,0.10372230193217692,0.18761631740924584
ROI.05 [],0.024519772054654502,0.030431254888059155,0.17667604649495028
ROI.06 [],-0.03211022576998613,0.05025164323731757,0.2191479904166017
ROI.07 [],0.058385935214564026,0.015033990022359429,0.13355588532636117
ROI.08 [],0.4308405619514824,0.055256045803221875,0.7071207909675918
ROI.09 [],-0.5282545614641101,0.18802986565811458,0.41189476682646275
ROI.10 [],0.13987777545279423,0.06177610139919767,0.4487582824487826
ROI.11 [],-0.13388361735945034,0.0299766624795217,0.01599969503815815
ROI.12 [],0.09392923422988676,0.015942655225455103,0.17364251035716227
ROI.000 [],-0.18294195040914996,0.02540355302444788,-0.055924185286910566
