Time (s),ROI.04 []
0.259,0.036426666046234124
0.785,-0.010232485287623513
1.284,-0.1094827792498344
1.777,-0.18195077129985815
2.295,-0.16868334979549213
2.777,-0.07593068314018898
3.286,-0.09352199506339967
3.777,-0.04861516939605562
4.288,-0.19452631169475926
4.778,-0.12246020563411943
5.277,0.005521405986005497
5.777,-0.048058216058621456
6.288,-0.008303410226681256
6.778,-0.0877855612549377
7.288,-0.07451547298826208
7.777,-0.09713459857355276
8.278,-0.19689788109414402
8.778,-0.05246668880515342
9.277,-0.14436058063976945
9.778,-0.11455530310658188
10.277,-0.10703887215728222
10.777,-0.07807674547676303
11.277,-0.13213481934369334
11.777,-0.13259522139359267
12.279,-0.15116113692283686
12.777,-0.13277563363447675
13.277,-0.12794291356255572
13.777,-0.026335094130706362
14.288,-0.11566181541771409
14.784,-0.11104446593470164
15.276,-0.11273539184155648
15.776,-0.05757309431857016
16.296,0.006253350444331302
16.777,-0.06952908146926474
17.277,-0.10951968940429317
17.787,-0.019560589625946298
18.277,-0.046629094468565356
18.787,-0.09121087805568054
19.278,-0.10780748067671853
19.788,-0.149460016382808
20.277,-0.2142606264310034
20.781,-0.16379330135539663
21.276,-0.0063546035569470435
21.785,-0.024420494141550345
22.277,-0.08053595691372416
22.787,-0.11562553750940441
23.276,-0.06418197606748183
23.786,-0.1818473070341428
24.277,-0.030363773308309704
24.777,-0.004448008792219953
25.278,-0.029330620646818063
25.778,-0.09728460096231809
26.287,-0.015546413127394711
26.777,-0.1303112833338323
27.295,-0.14636356448625717
27.782,-0.06716369480192472
28.285,-0.0547579855167116
28.776,-0.13393106160464543
29.296,-0.10124418046632465
29.777,-0.017228408084407294
30.288,-0.12277930140870975
30.776,-0.14564799045564736
31.277,-0.06495594811037689
31.778,-0.12047322654019733
32.286,-0.05203761755765325
32.78,-0.09084156504086924
33.279,-0.06496666049613414
33.776,0.007942715200164078
34.277,-0.08532153475252245
34.789,-0.0655910230102382
35.278,0.0230227522320591
35.778,-0.03235244563519018
36.287,-0.020925004531034262
36.778,-0.026731870012704113
37.277,-0.07074739443140995
37.778,-0.05760895663674002
38.277,0.0325597169568945
38.777,-0.07168747472059032
39.278,-0.03709242629346305
39.786,0.03998450150880687
40.278,-0.14465254792095097
40.788,-0.03896413848791938
41.28,0.01844096652069271
41.783,-0.08217119395697764
42.285,0.01944007185955137
42.777,-0.02124283942749312
43.294,0.03579550829836173
43.778,-0.05703344196705069
44.278,-0.06937782004926873
44.776,-0.1394855682582332
45.285,-0.09897224127586197
45.777,-0.09758554247247604
46.277,-0.07114069445614861
46.777,-0.13426843728136495
47.287,-0.03260323098690918
47.778,-0.085780399887763
48.276,-0.02979723224561773
48.785,-0.044911196835344516
49.278,-0.04026612797185519
49.788,-0.023822177390877376
50.278,-0.07783464683416545
50.777,-0.023021896755650164
51.287,-0.07560166857907086
51.778,-0.14011792611333435
52.277,-0.07007772626375167
52.778,-0.14263541497135182
53.277,-0.16712506702255459
53.777,-0.12509206982210067
54.286,-0.11076328358938518
54.778,-0.0500289094172079
55.281,-0.06219707087714361
55.785,-0.13357722477531794
56.277,-0.06625898293722986
56.793,-0.14643316140948534
57.276,-0.07255675604898387
57.785,-0.08470296498114376
58.279,-0.09601039560032913
58.776,-0.08644449384681659
59.287,-0.10949071781024763
59.777,-0.09520660993447636
60.287,-0.25077288067227566
60.778,-0.15511868306649781
61.276,-0.08051172872535567
61.786,-0.08078373259852788
62.277,-0.10625091698194015
62.778,-0.05605682608387008
63.287,-0.08319665747051418
63.777,-0.1019453553738151
64.277,-0.19140244571923695
64.778,-0.14965548810642135
65.287,-0.09845809322704521
65.777,-0.00981260057840155
66.277,-0.09321162528858853
66.775,-0.03664540543199762
67.277,-0.04101959108789375
67.787,-0.08173531742007509
68.277,-0.07222337229317338
68.787,0.010490341511874552
69.282,-0.11445549675426511
69.784,-0.17989055130121606
70.276,-0.05959901966390219
70.796,-0.1555113558242644
71.277,-0.11462740783253615
71.787,-0.16804116566950494
72.278,0.01292717373284822
72.777,-0.01607905931625645
73.276,-0.045183173989050064
73.787,-0.04927471239917942
74.278,-0.09560996709591715
74.778,-0.037305674243203045
75.287,-0.05464981645797339
75.776,-0.1206572635305591
76.287,-0.1402881428672381
76.777,-0.14963999298168057
77.276,-0.1217480846193043
77.788,-0.10221471168543615
78.276,-0.10671658231411353
78.787,-0.15799971464546686
79.277,-0.051702473455410805
79.777,-0.06391464170766563
80.276,0.06803367252218112
80.777,-0.012130686814542902
81.287,-0.02033186558645659
81.778,-0.027122466632964855
82.288,-0.15263589988260043
82.78,0.01728087376666805
83.283,-0.07947779606372746
83.785,-0.05930084296566751
84.277,0.013593393235859338
84.778,-0.00021432602412180214
85.278,0.0016047619897569451
85.776,-0.1485416814707327
86.288,-0.08362375166883336
86.778,-0.11905854488432319
87.287,-0.09197853978149184
87.777,-0.15177563123064144
88.276,-0.08349143007899945
88.786,-0.18349390736456597
89.283,-0.06702725570222032
89.777,-0.036694562811068705
90.288,-0.186438971277331
90.777,-0.032032081559238604
91.288,-0.06406941881592472
91.777,-0.07733244257458499
92.277,-0.0654104435652205
92.782,-0.00033314034637428
93.278,0.00854324565054235
93.778,-0.057852866925976285
94.277,-0.12345477687681464
94.777,-0.16498300135387697
95.283,-0.1073819933860246
95.776,-0.049688147989715874
96.276,-0.0698040350786185
96.787,-0.07657724439976661
97.282,-0.17906658622003366
97.786,-0.07168633142611504
98.278,-0.08572087294237309
98.776,-0.08663395905821818
99.277,-0.09070169715239994
99.788,-0.06772361684707712
100.277,-0.08459256971305787
100.777,-0.1637858253425139
101.277,-0.08282982781903492
101.778,-0.1864736851198763
102.277,-0.0909193495038391
102.779,-0.08546803272542339
103.277,-0.17609715257964956
103.777,-0.18531558725718597
104.277,-0.07202977358373724
104.778,-0.05756378426631805
105.278,-0.04689405550544286
105.777,-0.13612546207468712
106.278,-0.16893494188463193
106.777,-0.11602141753606154
107.277,-0.17989206098372035
107.778,-0.05962928675269252
