ROI,mean0,sd0,thr
ROI.01 [],-0.010761042172285552,0.006074764060812164,0.00746325001015094
ROI.02 [],-0.0394029396014483,0.03081032576051423,0.05302803768009439
ROI.03 [],0.143589915750149,0.11856319842546366,0.49927951102654
ROI.04 [],-0.006538891428723098,0.0032719230400819264,0.0032768776915226812
ROI.05 [],0.005060855811821569,0.0030804023118286166,0.014302062747307418
ROI.06 [],0.003777654213112597,0.002493796190496362,0.011259042784601683
ROI.07 [],0.004810478087241821,0.0032431930547884495,0.01454005725160717
ROI.08 [],0.003127308272381028,0.0021211350512064164,0.009490713426000278
ROI.10 [],0.010074783946047699,0.01063541429085366,0.041981026818608685
ROI.11 [],0.016362818558626004,0.012715560250733374,0.05450949931082613
ROI.12 [],-0.004979306492560657,0.002416000916854604,0.002268696258003155
ROI.13 [],0.0028272983459305197,0.0028381987189386405,0.01134189450274644
ROI.14 [],0.011167387724695691,0.005788745635636038,0.028533624631603804
ROI.15 [],0.010316174088668823,0.005081460091888258,0.025560554364333597
ROI.16 [],0.007872717456251859,0.0051278444823919895,0.023256250903427825
ROI.17 [],0.006946272014584388,0.0056422305907924165,0.02387296378696164
ROI.18 [],0.007155445733032491,0.003783676105430056,0.01850647404932266
ROI.19 [],0.006431010971656775,0.003944864041524503,0.018265603096230286
ROI.20 [],0.00707466156057644,0.0036260751835389456,0.017952887111193278
ROI.21 [],-0.005865265767853012,0.003957686352033767,0.006007793288248289
